Envelope_Name_Corrected,Date,Elevation,Site,destBlockID,Treatment,Taxon,Individual_number,Leaf_number,Wet_Mass_g,Dry_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,Leaf_Area_cm2,SLA_cm2_g,LDMC,StoichLabel,WetFlag,DryFlag,ThickFlag,AreaFlag,GeneralFlag,allComments
NA,2015-08-20,4100,H,HO,LOCAL,Stellaria sp1,1,4,NA,9e-5,0.13,NA,NA,NA,NA,NA,0.13,0.095,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3000,L,LO,LOCAL,Galium asperifolium var. sikkimense,3,3,NA,1e-4,0.188,NA,NA,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium asperifolium var. sikkimense,5,3,NA,1e-4,0.106,NA,NA,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Poa annua,3,1,NA,1e-4,0.08,NA,NA,NA,NA,NA,0.08,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Poa sikkimensis,1,3,NA,1e-4,0.076,NA,NA,NA,NA,NA,0.076,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Polygonum cyanandrum,4,3,NA,1e-4,0.119,NA,NA,NA,NA,NA,0.119,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Polygonum cyanandrum,4,4,NA,1e-4,0.121,NA,NA,NA,NA,NA,0.121,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,1,1,NA,1e-4,0.215,NA,NA,NA,NA,NA,0.215,0.098,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,3,4,NA,1e-4,0.002,NA,NA,NA,NA,NA,0.002,0.136,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Polygonum cyanandrum,3,1,NA,1e-4,0.202,NA,NA,NA,NA,NA,0.202,0.144,NA,NA,164,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Polygonum cyanandrum,3,5,NA,1e-4,0.251,NA,NA,NA,NA,NA,0.251,0.097,NA,NA,164,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Polygonum cyanandrum,4,4,NA,1e-4,0.232,NA,NA,NA,NA,NA,0.232,0.098,NA,NA,164,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Polygonum cyanandrum,4,5,NA,1e-4,0.275,NA,NA,NA,NA,NA,0.275,0.109,NA,NA,164,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,1,5,NA,1e-4,0.127,NA,NA,NA,NA,NA,0.127,0.067,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,1,4,NA,1e-4,0.18,NA,NA,NA,NA,NA,0.18,0.01,100,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,2,1,NA,1e-4,0.24,NA,NA,NA,NA,NA,0.24,0.023,229.99999999999997,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,4,1,NA,1e-4,0.118,NA,NA,NA,NA,NA,0.118,0.017,170,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,4,4,NA,1e-4,0.118,NA,NA,NA,NA,NA,0.118,0.014,140,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,4,5,NA,1e-4,0.091,NA,NA,NA,NA,NA,0.091,0.02,200,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,1,5,NA,1e-4,0.099,NA,NA,NA,NA,NA,0.099,0.033,330,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,3,1,NA,1e-4,NA,NA,NA,NA,NA,NA,NaN,0.024,240,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,3,3,NA,1e-4,0.022,NA,NA,NA,NA,NA,0.022,0.022,219.99999999999997,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,3,5,NA,1e-4,0.111,NA,NA,NA,NA,NA,0.111,0.015,150,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Kobresia sp1,3,5,NA,1e-4,NA,NA,NA,NA,NA,NA,NaN,0.067,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,1,1,NA,1e-4,0.198,NA,NA,NA,NA,NA,0.198,0.024,240,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,1,3,NA,1e-4,0.213,NA,NA,NA,NA,NA,0.213,0.019,190,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,1,4,NA,1e-4,0.215,NA,NA,NA,NA,NA,0.215,0.024,240,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,3,4,NA,1e-4,0.101,NA,NA,NA,NA,NA,0.101,0.025,250,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,3,5,NA,1e-4,0.198,NA,NA,NA,NA,NA,0.198,0.026,260,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf cut off
NA,2015-08-20,4100,H,HO,LOCAL,Codonopsis foetens subsp. nervosa,1,5,NA,1e-4,0.275,NA,NA,NA,NA,NA,0.275,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Ranunculus brotherusii var. tanguticus,1,3,NA,1e-4,0.153,NA,NA,NA,NA,NA,0.153,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,1,2,NA,1.1e-4,0.126,NA,NA,NA,NA,NA,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,5,3,NA,1.2e-4,0.199,NA,NA,NA,NA,NA,0.199,0.038,316.66666666666663,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,2,3,4e-4,1.2e-4,0.296,NA,NA,NA,NA,NA,0.296,0.028,233.33333333333334,0.3,NA,Wet mass might be incorrect Tiny Wet mass,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,2,4,NA,1.2e-4,0.155,NA,NA,NA,NA,NA,0.155,0.013,108.33333333333333,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,3,2,NA,1.2e-4,0.11,NA,NA,NA,NA,NA,0.11,0.01,83.33333333333333,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,3,4,4e-4,1.2e-4,0.112,NA,NA,NA,NA,NA,0.112,0.024,200,0.3,NA,Wet mass might be incorrect Tiny Wet mass,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,2,1,NA,1.2e-4,0.138,NA,NA,NA,NA,NA,0.138,0.027,225,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,4,3,NA,1.3e-4,0.208,NA,NA,NA,NA,NA,0.208,0.013,100,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,2,3,NA,1.3e-4,0.252,NA,NA,NA,NA,NA,0.252,0.029,223.0769230769231,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,2,4,NA,1.3e-4,0.237,NA,NA,NA,NA,NA,0.237,0.036,276.9230769230769,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,3,3,NA,1.4e-4,0.133,NA,NA,NA,NA,NA,0.133,0.032,228.57142857142858,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,2,1,NA,1.5e-4,0.227,NA,NA,NA,NA,NA,0.227,0.025,166.66666666666669,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,2,1,NA,1.6e-4,0.139,NA,NA,NA,NA,NA,0.139,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,2,5,NA,1.6e-4,0.136,NA,NA,NA,NA,NA,0.136,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,2,1,NA,1.6e-4,0.292,NA,NA,NA,NA,NA,0.292,0.049,306.25,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,2,4,NA,1.6e-4,0.228,NA,NA,NA,NA,NA,0.228,0.073,456.24999999999994,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,2,5,NA,1.6e-4,0.061,NA,NA,NA,NA,NA,0.061,0.019,118.74999999999999,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,1,1,NA,1.6e-4,0.103,NA,NA,NA,NA,NA,0.103,0.046,287.5,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,2,2,NA,1.6e-4,0.168,NA,NA,NA,NA,NA,0.168,0.034,212.5,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Stellaria sp1,1,5,NA,1.6e-4,0.068,NA,NA,NA,NA,NA,0.068,0.072,449.99999999999994,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,2,5,NA,1.7e-4,0.157,NA,NA,NA,NA,NA,0.157,0.041,241.17647058823528,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Stellaria sp1,1,1,NA,1.7e-4,0.161,NA,NA,NA,NA,NA,0.161,0.104,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Stellaria sp1,1,2,NA,1.7e-4,0.048,NA,NA,NA,NA,NA,0.048,0.067,394.11764705882354,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,5,4,NA,1.8e-4,0.198,NA,NA,NA,NA,NA,0.198,0.055,305.55555555555554,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,3,1,NA,1.8e-4,0.196,NA,NA,NA,NA,NA,0.196,0.033,183.33333333333334,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,2,5,NA,1.9e-4,0.17,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,2,3,NA,2e-4,0.062,NA,NA,NA,NA,NA,0.062,0.132,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,2,4,NA,2e-4,0.142,NA,NA,NA,NA,NA,0.142,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Polygonum cyanandrum,1,4,NA,2e-4,0.311,NA,NA,NA,NA,NA,0.311,0.277,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,1,5,NA,2e-4,0.159,NA,NA,NA,NA,NA,0.159,0.088,439.99999999999994,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Arenaria pogonantha,1,4,NA,2e-4,0.283,NA,NA,NA,NA,NA,0.283,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,1,4,NA,2e-4,0.206,NA,NA,NA,NA,NA,0.206,0.086,429.99999999999994,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Lomatogonium carinthiacum,1,3,NA,2e-4,0.185,NA,NA,NA,NA,NA,0.185,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Polystichum frigidicola,2,5,NA,2e-4,0.195,NA,NA,NA,NA,NA,0.195,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,2,2,NA,2e-4,0.196,NA,NA,NA,NA,NA,0.196,0.011,54.99999999999999,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,3,1,NA,2e-4,0.247,NA,NA,NA,NA,NA,0.247,0.014,70,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,3,3,NA,2e-4,0.234,NA,NA,NA,NA,NA,0.234,0.032,160,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,3,5,NA,2e-4,0.188,NA,NA,NA,NA,NA,0.188,0.013,65,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Kobresia sp1,2,3,NA,2e-4,0.185,NA,NA,NA,NA,NA,0.185,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Ranunculus brotherusii var. tanguticus,1,5,NA,2e-4,0.284,NA,NA,NA,NA,NA,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,2,5,NA,2.1e-4,0.145,NA,NA,NA,NA,NA,0.145,0.042,200,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Cerastium fontanum,1,5,NA,2.2e-4,0.052,NA,NA,NA,NA,NA,0.052,0.057,259.09090909090907,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,5,2,NA,2.2e-4,0.229,NA,NA,NA,NA,NA,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,2,5,NA,2.2e-4,0.226,NA,NA,NA,NA,NA,0.226,NA,NA,NA,NA,NA,Area possibly wrong_duplicate EnvelopeName_matching area and mass arranged by size and mass,NA,Area possibly wrong_duplicate EnvelopeName_matching area and mass arranged by size and mass,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,1,5,NA,2.2e-4,0.288,NA,NA,NA,NA,NA,0.288,0.039,177.27272727272725,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,5,5,NA,2.3e-4,0.168,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,1,1,NA,2.3e-4,0.204,NA,NA,NA,NA,NA,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,1,4,NA,2.5e-4,0.174,NA,NA,NA,NA,NA,0.174,0.093,372,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,4,2,NA,2.5e-4,0.056,NA,NA,NA,NA,NA,0.056,0.063,252,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,4,5,NA,2.5e-4,0.077,NA,NA,NA,NA,NA,0.077,0.054,216,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,2,4,NA,2.7e-4,0.184,NA,NA,NA,NA,NA,0.184,0.103,381.48148148148147,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Stellaria sp1,1,3,NA,2.7e-4,0.188,NA,NA,NA,NA,NA,0.188,0.099,366.6666666666667,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Codonopsis foetens subsp. nervosa,1,4,NA,2.7e-4,0.103,NA,NA,NA,NA,NA,0.103,0.023,85.18518518518518,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,2,2,NA,2.8e-4,0.117,NA,NA,NA,NA,NA,0.117,0.199,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3000,L,LO,LOCAL,Poa annua,3,3,NA,2.8e-4,0.032,NA,NA,NA,NA,NA,0.032,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,2,2,NA,2.9e-4,0.207,NA,NA,NA,NA,NA,0.207,0.064,220.6896551724138,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3000,L,LO,LOCAL,Corydalis sp1,2,2,NA,3e-4,0.399,NA,NA,NA,NA,NA,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Corydalis sp1,2,3,NA,3e-4,0.254,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,1,4,NA,3e-4,0.146,NA,NA,NA,NA,NA,0.146,0.156,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3000,L,LO,LOCAL,Galium hoffmeisteri,1,5,NA,3e-4,0.125,NA,NA,NA,NA,NA,0.125,0.124,413.33333333333337,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3000,L,LO,LOCAL,Poa annua,3,2,NA,3e-4,0.195,0.162,NA,NA,NA,NA,0.1785,0.22,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,leaf folded
NA,2015-08-20,3000,L,LO,LOCAL,Polygonum cyanandrum,3,2,NA,3e-4,0.17,NA,NA,NA,NA,NA,0.17,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Agrostis nervosa,1,5,NA,3e-4,0.06,NA,NA,NA,NA,NA,0.06,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3500,M,MO,LOCAL,Gentiana crassuloides,5,1,NA,3e-4,0.203,NA,NA,NA,NA,NA,0.203,0.01,33.333333333333336,NA,NA,NA,Area might be incorrect 2015 weighing,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3500,M,MO,LOCAL,Polygonum cyanandrum,5,3,NA,3e-4,0.222,NA,NA,NA,NA,NA,0.222,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Arenaria pogonantha,1,2,NA,3e-4,0.295,NA,NA,NA,NA,NA,0.295,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Cerastium fontanum,3,2,NA,3e-4,0.208,NA,NA,NA,NA,NA,0.208,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Galium asperuloides,1,1,NA,3e-4,0.276,NA,NA,NA,NA,NA,0.276,0.118,393.33333333333337,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Gentiana crassuloides,1,1,NA,3e-4,0.17,NA,NA,NA,NA,NA,0.17,0.137,456.66666666666674,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Poa annua,3,2,NA,3e-4,0.277,NA,NA,NA,NA,NA,0.277,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,3850,A,AO,LOCAL,Polygonum cyanandrum,2,4,NA,3e-4,0.178,NA,NA,NA,NA,NA,0.178,0.151,NA,NA,198,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Androsace minor,1,4,NA,3e-4,0.258,NA,NA,NA,NA,NA,0.258,0.106,353.33333333333337,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Arenaria pogonantha,2,3,NA,3e-4,0.249,NA,NA,NA,NA,NA,0.249,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Arenaria pogonantha,3,2,NA,3e-4,0.23,NA,NA,NA,NA,NA,0.23,0.284,NA,NA,NA,NA,Area might be incorrect 2015 weighing,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Arenaria pogonantha,5,1,NA,3e-4,0.23,NA,NA,NA,NA,NA,0.23,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Arenaria pogonantha,5,4,NA,3e-4,0.193,NA,NA,NA,NA,NA,0.193,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Cyananthus hookeri,3,5,NA,3e-4,0.312,NA,NA,NA,NA,NA,0.312,0.261,NA,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
