site,plot,biomass,cover,height,n,speciesName,authority,genus,family
H,I-3,17.8845,36,2.3,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-3,0.4953,0.7,1.8,1,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-3,0.0191,0.2,2,1,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-3,0.3056,0.9,0.575,8,Saussurea ceterach,,Saussurea,Asteraceae
H,I-3,1.1045,2.2,2,3,Saussurea pachyneura,,Saussurea,Asteraceae
H,I-3,1.0834,3.4,2.03,10,Saussurea stella,,Saussurea,Asteraceae
H,I-3,2.8726,3.2,1.08,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-3,0.1602,1.3,2.2666666666666666,3,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-3,0.1961,3,1.7,3,Viola biflora var. rockiana,,Viola,Violaceae
H,I-4,0.1321,1,2.77,10,Allium prattii,,Allium,Amaryllidaceae
H,I-4,0.069,1,3,1,Anemone demissa,,Anemone,Ranunculaceae
H,I-4,0.0174,0.2,1.25,2,Aster asteroides,,Aster,Asteraceae
H,I-4,1.3067,4,1.11,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-4,0.313,1,5.383333333333333,6,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-4,NA,0.8,1.55,2,Fragaria orientalis,,Fragaria,Rosaceae
H,I-4,0.1278,2,1.825,4,Galearis spathulata,,Galearis,Orchidaceae
H,I-4,0.2664,1,0.89,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-4,5.339999999999999,10,5.42,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-4,5.6124,12,4.58,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-4,4.079299999999999,8,3.25,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-4,0.4755,4.7,1.6,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-4,3.8777999999999997,5,0.89,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-4,0.4803,0.8,2,7,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-4,0.2448,1,1.6,4,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-4,4.319,10,0.86,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-4,0.0263,0.2,1.5,1,Saussurea pachyneura,,Saussurea,Asteraceae
H,I-4,0.3442,3.5,1.4166666666666667,6,Saussurea stella,,Saussurea,Asteraceae
H,I-4,0.0294,0.5,0.9333333333333333,9,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-4,0.6007,5,0.6,8,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-4,0.2992,1.3,0.5222222222222223,9,Viola biflora var. rockiana,,Viola,Violaceae
H,I-5,0.2733,0.8,2.25,6,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-5,0.1317,0.8,3.35,4,Allium prattii,,Allium,Amaryllidaceae
H,I-5,2.2921000000000005,25,1.1800000000000002,10,Androsace minor,,Androsace,Primulaceae
H,I-5,0.0721,0.8,1.1,1,Anemone demissa,,Anemone,Ranunculaceae
H,I-5,0.7161,3,0.64,10,Aster asteroides,,Aster,Asteraceae
H,I-5,0.0776,0.5,2.3,1,Astragalus skythropos,,Astragalus,Fabaceae
H,I-5,0.4844,2.5,0.79,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-5,0.4548,0.8,4.442857142857143,7,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-5,0.0158,0.1,3.9,2,Festuca forrestii,,Festuca,Poaceae
H,I-5,0.2125,1,1.7000000000000002,4,Galearis spathulata,,Galearis,Orchidaceae
H,I-5,0.2477,1,0.78,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-5,8.592199999999998,18,6.05,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-5,4.165100000000001,10,5.5,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-5,1.8053,4,4.675,4,Kobresia sp4,,Kobresia,Cyperaceae
H,I-5,0.2078,1.2,2.5,1,Ligusticum scapiforme,,Ligusticum,Apiaceae
H,I-5,0.0163,0.2,1.8,1,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-5,0.2289,2,2.62,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-5,8.2222,20,1.12,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-5,0.0551,0.4,0.9333333333333333,3,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-5,0.0382,0.5,1,5,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-5,0.6919,3,0.54,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-5,2.2642,6,1.9,10,Saussurea stella,,Saussurea,Asteraceae
H,I-5,2.1432999999999995,3.5,0.72,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-5,0.3017,2,1.1555555555555554,9,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-5,0.0366,0.4,0.35,4,Viola biflora var. rockiana,,Viola,Violaceae
H,I-6,0.2568,2.2,2.1666666666666665,3,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-6,0.1182,0.8,2.5,1,Allium prattii,,Allium,Amaryllidaceae
H,I-6,0.9352000000000005,1.5,0.61,10,Androsace minor,,Androsace,Primulaceae
H,I-6,0.0864,0.4,1.6,2,Anemone demissa,,Anemone,Ranunculaceae
H,I-6,0.2299,1.5,0.9,10,Aster asteroides,,Aster,Asteraceae
H,I-6,0.2757,0.8,4.2,1,Astragalus skythropos,,Astragalus,Fabaceae
H,I-6,0.2974,2,1.29,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-6,0.3686,0.2,5.5,1,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-6,NA,0.5,2.3,2,Festuca forrestii,,Festuca,Poaceae
H,I-6,0.3328,2.5,1.06,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-6,7.027499999999999,16,5.95,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-6,4.6241,4,4.18,10,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-6,8.441,12,4.83,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-6,0.1717,4,1.69,10,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-6,0.4583,3.5,1.21,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-6,4.0543000000000005,20,2.43,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-6,0.0157,0.4,1.3333333333333333,3,Rhodiola bupleuroides,,Rhodiola,Crassulaceae
H,I-6,0.8107,1.8,1.57,10,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-6,NA,0.1,1.3,2,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-6,0.8349,6,1.33,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-6,1.2494999999999998,3,1.46,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-6,0.2881,4,1.0444444444444445,9,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-6,0.0791,0.4,1,1,Viola biflora var. rockiana,,Viola,Violaceae
H,I-7,0.0616,0.3,2.5,1,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-7,0.3591,0.8,4,10,Allium prattii,,Allium,Amaryllidaceae
H,I-7,0.2746,0.8,0.5,1,Androsace minor,,Androsace,Primulaceae
H,I-7,0.2695,1,2.225,4,Anemone demissa,,Anemone,Ranunculaceae
H,I-7,0.1124,2,2.49,10,Aster asteroides,,Aster,Asteraceae
H,I-7,1.3168,2.5,1.48,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-7,1.6347,4,4.1899999999999995,10,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-7,0.5254,3.5,2.4,10,Galearis spathulata,,Galearis,Orchidaceae
H,I-7,0.1831,1,1.1400000000000001,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-7,0.0572,0.5,2.3,1,Gentiana trichotoma,,Gentiana,Gentianaceae
H,I-7,1.2698,2.2,7.55,6,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-7,5.0265,16,4.79,10,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-7,10.074399999999997,8,5.12,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-7,2.6027999999999993,3,5.59,10,Kobresia sp4,,Kobresia,Cyperaceae
H,I-7,0.1004,1,1.1,4,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-7,0.3848,2,2.7199999999999998,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-7,21.229899999999997,51,2.2800000000000002,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-7,0.0065,0.2,1,2,Rhodiola bupleuroides,,Rhodiola,Crassulaceae
H,I-7,0.226,0.8,0.6777777777777778,9,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-7,0.1804,0.5,0.8666666666666667,3,Saussurea ceterach,,Saussurea,Asteraceae
H,I-7,0.996,0.5,0.95,4,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-7,0.6295,5,2.25,10,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-7,0.3586,0.8,0.55,10,Viola biflora var. rockiana,,Viola,Violaceae
H,I-8,0.3793,1,2.25,2,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-8,0.0861,0.5,3.5428571428571427,7,Allium prattii,,Allium,Amaryllidaceae
H,I-8,0.8483000000000005,1.5,1.09,10,Androsace minor,,Androsace,Primulaceae
H,I-8,0.0694,0.5,1.9,2,Anemone demissa,,Anemone,Ranunculaceae
H,I-8,0.2331,2.5,1.42,10,Aster asteroides,,Aster,Asteraceae
H,I-8,0.3962,2.5,1.36,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-8,0.7505000000000002,3,5.63,10,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-8,0.4636,3,3.95,2,Festuca forrestii,,Festuca,Poaceae
H,I-8,0.3814,1.5,1.06,10,Gentiana crassula,,Gentiana,Gentianaceae
H,I-8,1.9215000000000004,5,4.63,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-8,4.364599999999999,6,2.6777777777777776,9,Kobresia pygmaea,,Kobresia,Cyperaceae
H,I-8,8.1004,12,6.35,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-8,0.1202,0.8,2.5,1,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-8,0.6904,2.5,1.86,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-8,12.2822,25,1.67,10,Potentilla stenophylla,,Potentilla,Rosaceae
H,I-8,1.0351,2.5,1.62,10,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-8,NA,0.2,0.8,1,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-8,0.2032,0.8,1.41,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-8,0.9246,2,2,4,Saussurea pachyneura,,Saussurea,Asteraceae
H,I-8,4.1323,10,1.26,10,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-8,0.0442,1.5,1.5,3,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-8,0.3031,1.5,0.8,10,Viola biflora var. rockiana,,Viola,Violaceae
H,I-9,0.1848,0.6,1.9,1,Aletris pauciflora,,Aletris,Nartheciaceae
H,I-9,0.0537,0.3,1.2,1,Allium prattii,,Allium,Amaryllidaceae
H,I-9,0.3015,0.8,1.16,10,Androsace minor,,Androsace,Primulaceae
H,I-9,0.3087,2,1.95,2,Anemone demissa,,Anemone,Ranunculaceae
H,I-9,0.1647,0.8,0.9666666666666667,3,Aster asteroides,,Aster,Asteraceae
H,I-9,1.1753,4,1.6300000000000001,10,Cyananthus incanus,,Cyananthus,Campanulaceae
H,I-9,0.6332,1.2,5.96,5,Calamagrostis lahulensis,,Deyeuxia,Poaceae
H,I-9,0.3725,0.5,4.5,1,Festuca forrestii,,Festuca,Poaceae
H,I-9,0.1485,0.5,0.9333333333333333,9,Gentiana crassula,,Gentiana,Gentianaceae
H,I-9,7.4098,20,5.8,10,Kobresia cercostachys,,Kobresia,Cyperaceae
H,I-9,6.5541,20,4.8,10,Kobresia sp1,,Kobresia,Cyperaceae
H,I-9,7.3973,NA,NA,NA,mixed forb species,,Mix,NA
H,I-9,0.0554,0.8,0.775,4,Oxygraphis glacialis,,Oxygraphis,Ranunculaceae
H,I-9,0.3741,2,1.32,10,Polygonum macrophyllum,,Polygonum,Polygonaceae
H,I-9,1.6725,7,0.67,10,Primula sp,,Primula,Primulaceae
H,I-9,0.018,0.3,1.5,1,Rhodiola fastigiata,,Rhodiola,Crassulaceae
H,I-9,0.1557,0.5,3.5,1,Rhododendron websterianum,,Rhododendron,Ericaceae
H,I-9,0.8502,6,0.62,10,Saussurea ceterach,,Saussurea,Asteraceae
H,I-9,1.3548,6,1.46,5,Saussurea pachyneura,,Saussurea,Asteraceae
H,I-9,1.2603,8,1.48,10,Saussurea stella,,Saussurea,Asteraceae
H,I-9,NA,0.5,0.8428571428571429,7,Sibbaldia pentaphylla,,Sibbaldia,Rosaceae
H,I-9,0.1718,1.5,0.9,8,Pyrethrum tatsienense,,Tanacetum,Asteraceae
H,I-9,0.2234,2,1.18,10,Viola biflora var. rockiana,,Viola,Violaceae
A,I-1,0.1854,1,12,1,Acanthocalyx nepalensis,(D. Don) M. J. Cannon,Acanthocalyx,NA
A,I-1,0.6296999999999997,2,11.757142857142856,7,Allium cyaneum,,Allium,Amaryllidaceae
A,I-1,40.4547,60,22.46,10,Carex laeta,Boott,Carex,Cyperaceae
A,I-1,0.0245,0.1,11,1,Cerastium szechuense,F. N. Williams,Cerastium,Caryophyllaceae
A,I-1,1.8545,3,12.95,10,Epilobium fangii,C. J. Chen et al,Epilobium,Onagraceae
A,I-1,0.1147,1.5,6.142857142857143,7,Fragaria orientalis,Losinskaja,Fragaria,Rosaceae
A,I-1,0.1285,0.5,11,3,Halenia elliptica,D. Don,Halenia,Gentianaceae
A,I-1,7.869699999999999,15,7.68,10,Hemiphragma heterophyllum,Wallich,Hemiphragma,Plantaginaceae
A,I-1,2.4572,0.5,12.79,10,Juncus leucomelas,Royle ex D. Don,Juncus,Juncaceae
A,I-1,0.7596999999999996,3,14.8,6,Ligusticum scapiforme,H. Wolff,Ligusticum,Apiaceae
A,I-1,0.6641,6,7.05,10,Pedicularis davidii,Franchet,Pedicularis,Orobanchaceae
A,I-1,1.2954,1.2,11,1,Pedicularis mussotii var. lophocentra,(Handel-Mazzetti) H. L. Li,Pedicularis,Orobanchaceae
A,I-1,3.8354,12,13.63,10,Persicaria vivipara,Linnaeus,Polygonum,Polygonaceae
A,I-1,1.8107,5,14.333333333333334,6,Potentilla leuconota,D. Don,Potentilla,Rosaceae
A,I-1,0.1561,0.8,9.4,2,Veronica szechuanica,Batalin,Veronica,Plantaginaceae
A,I-10,0.1208,0.8,8,1,Allium cyaneum,,Allium,Amaryllidaceae
A,I-10,1.2253,1,11.616666666666667,6,Allium prattii,C. H. Wright ex Hemsley,Allium,Amaryllidaceae
