day.night,day (NOT DATE!!!),time,siteID,Attempt,elevation_m_asl,aspect,plotID,A_temp,A_CO2,IR_temp_1,IR_temp_2,IR_temp_3,IR_temp_4,IR_temp_5,PAR_Amb,PAR_Photo,PAR_Res,Start_CO2_Photo,Start_CO2_Res,Stop_CO2_Photo,Stop_CO2_Res,Start_CO2_Night,Stop_CO2_Night,Remarks,Note taker/laptop,Site_redo
day,5,13:16,2,1,2200,west,5,,408,26.2,28.2,26.7,26.1,25.7,2267,1071,7,397,405,382,423,,,P: Variable light; A: Breezy,HRD/AG,no
day,5,13:22,2,1,2200,west,4,,401,30.6,23.2,32.7,32.6,34.4,2427,677,6.4,405,404,383,419,,,P: Occasional high cloud cover,HRD/AG,no
day,5,13:25,2,1,2200,west,3,,398,28.3,28.5,28.3,32.5,33.6,2242,1174,6.4,400,398,379,431,,,,HRD/AG,no
day,5,13:29,2,1,2200,west,2,,416,33.4,25.1,36.6,23.9,26.5,716,1172,2.3,404,409,385,424,,,P: Breezy,HRD/AG,no
day,5,,2,1,2200,west,1,,406,23.0,23.0,32.0,28.7,32.4,2283,1063,2.5,404,418,384,424,,,,HRD/AG,no
day,8,9:51,4,1,2600,west,1,,432,12.9,12.1,12.9,13.0,16.4,708,882,1.7,399,399,391,401,,,,HRD/AG,no
day,8,10:03,4,1,2600,west,2,,398,14.1,13.7,13.9,16.0,14.5,,857.3,7.2,396,398,386,400,,,"A: peaks from breathing 
P: light clouds, breezy",HRD/AG,no
day,8,10:13,4,1,2600,west,3,,402,19.3,17.0,19.0,19.4,15.9,1852,716.9,2.4,400.0,399.0,388.0,405.0,,,P: small light clouds,HRD/AG,no
day,8,,4,1,2600,west,4,,400,21.4,22.1,19.9,18.4,18.1,1438,659.3,6.6,394,404,380,413,,,"P: clouds 10:25 
more calm",HRD/AG,no
day,8,,4,1,2600,west,5,,403,19.2,20.7,23.1,21.4,23.1,2205,847.7,6.1,395,395,386,411,,,P: Light clouds,HRD/AG,no
day,8,10:51,4,1,2600,east,5,,401,22.7,31.5,25.4,26.5,22.0,2376,726.5,5.7,405,401,392,462,,,"P: Redo, light response curve",HRD/AG,no
day,8,,4,1,2600,east,4,,402,21.6,22.1,22.2,23.9,20.5,301.7,631.4,1.1,403,412,398,445,,,P: clouds ,HRD/AG,no
day,8,,4,1,2600,east,3,,415,25.3,26.0,23.1,23.6,22.3,2405,1053,7.7,413,405,398,434,,,"A: Peaks from breathing 
P: Two attempts",HRD/AG,no
day,8,,4,1,2600,east,2,,400,26.7,20.8,25.8,30.4,25.9,2214,1082,1.8,418,404,415,433,,,P: three attempts,HRD/AG,no
day,8,,4,1,2600,east,1,,419,19.5,20.3,26.5,23.4,26.5,338,876,3.3,422,426,405,433,,,,HRD/AG,no
day,8,13:53,5,1,2800,east,5,,416,19.1,17.5,17.7,19.5,15.9,276.6,711.6,6,419,412,424,432,,,P:cloud,HRD/AG,no
day,8,,5,2,2800,east,5,,416,19.1,17.5,17.7,19.5,15.9,276.6,727.8,6,422,412,415,432,,,,HRD/AG,no
day,8,14:01,5,1,2800,east,4,,426,23.9,23.2,26.1,21.0,17.8,1607,658.8,4.1,434,414,427,428,,,,HRD/AG,no
day,8,,5,1,2800,east,3,,459,22.7,21.2,21.4,22.9,24.4,2133,916.6,6,416,432,415,458,,,A: Breathing peak,HRD/AG,no
day,8,,5,1,2800,east,2,,417,20.2,20.7,22.6,24.7,19.8,644.9,967.5,,411,427,411,468,,,,HRD/AG,no
day,8,,5,1,2800,east,1,,424,26.0,20.2,18.7,18.8,16.2,1925,911.8,1.3,430,424,429,450,,,P: clouds,HRD/AG,no
night,8,20:05,5,1,2800,east,1,,426,10.1,10.0,10.6,10.2,10.2,,,,,,,,423,441,Breezy,HRD/AG,no
night,8,,5,1,2800,east,2,,,9.3,9.3,9.6,9.8,10.0,,,,,,,,442,447,,HRD/AG,no
night,8,,5,1,2800,east,3,,437,9.9,9.7,9.8,9.8,9.7,,,,,,,,421,418,,HRD/AG,no
night,8,,5,1,2800,east,4,,,10.1,9.9,9.8,10.4,10.1,,,,,,,,426,419,,HRD/AG,no
night,8,,5,1,2800,east,5,,409,10.1,10.1,10.0,9.9,10.0,,,,,,,,411,417,,HRD/AG,no
day,8,14:53,5,1,2800,west,1,,415,28.6,28.1,25.3,22.6,19.4,1959,965.4,6.9,404,407,394,441,,,,HRD/AG,no
day,8,15:01,5,1,2800,west,2,,423,21.6,18.7,22.6,22.0,18.9,2406,1087,1.6,411,413,418,432,,,,HRD/AG,no
day,8,,5,1,2800,west,3,,419,19.0,18.3,17.8,19.5,16.8,501.9,1018,1.7,415,414,416,431,,,,HRD/AG,no
day,8,,5,2,2800,west,3,,,,,,,,,1025,,414,,406,,,,,HRD/AG,no
day,8,,5,1,2800,west,4,,413,20.1,24.1,23.1,24.7,22.7,2128,1054,7.2,409,410,411,,,,,HRD/AG,no
day,8,15:47,5,2,2800,west,4,,,,,,,,,863.5,,408,,411,,,,,HRD/AG,no
day,8,15:49,5,1,2800,west,5,,413,18.3,20.6,19.7,27.1,21.2,235.8,945.2,5.6,408,424,401,420,,,,HRD/AG,no
night,8,19:14,5,1,2800,west,5,,430,10.6,10.4,10.2,10.4,10.4,,,,,,,,402,420,,HRD/AG,no
night,8,19:25,5,1,2800,west,4,,,10.2,10.2,10.2,10.2,10.5,,,,,,,,402,420,,HRD/AG,no
night,8,19:30,5,1,2800,west,3,,403,10.2,10.1,10.3,9.9,10.1,,,,,,,,407,413,,HRD/AG,no
night,8,,5,1,2800,west,2,,,9.8,9.9,9.7,9.7,9.7,,,,,,,,402,420,,HRD/AG,no
night,8,19:41,5,1,2800,west,1,,402,9.7,9.6,9.3,9.6,9.3,,,,,,,,402,415,,HRD/AG,no
day,9,"11:15 A; 
11:18R; 
11:57P",3,1,2400,east,5,,406,19.2,18.3,19.6,18.6,18.9,354,821,2.25,448,419,434,435,,,"Cloudy & calm (A), 
cloudy and breezy (R)
Full sun/calm (P)",TS/AG,no
day,9,"11:49 A;
11:51 P;
12:02 R;
12:07 REDO",3,1,2400,east,4,,427,24.5,27.2,32.3,27.0,29.7,1472,918,4.8,447,470,516,472,,,"variable PAR (A)
full sun (P)
breezy, sunny (R)
breezy, sunny (R redo)",TS/AG,no
day,9,"11:49 A;
11:51 P;
12:02 R;
12:07 REDO",3,2,2400,east,4,,427,24.5,27.2,32.3,27.0,29.7,1472,918,4.8,447,443,516,471,,,"variable PAR (A)
full sun (P)
breezy, sunny (R)
breezy, sunny (R redo)",TS/AG,no
day,9,"11:44(P)
12:11(A)
12:14(R)",3,1,2400,east,3,,448,25.6,24.6,29.5,26.2,27.4,1890,799,4.92,431,442,422,477,,,"PAR angle is off but full sun, calm (P)
calm, sunny (A)
calm, sunny (R)",TS/AG,no
day,9,"11:36(P)
12:18(A)
12:20 (R)
",3,1,2400,east,2,,439,28.7,32.3,27.5,31.7,33.1,1349,568,5.49,445,438,429,488,,,"Redid P due to lost connection, breezy, angle of PAR is off but full sun (P)
sunny, calm (A)
sunny, calm (R)
",TS/AG,no
day,9,"11:30 P;
12:25 A;
12:29 R;
12:35 R redo",3,1,2400,east,1,,455,27.5,26.9,28.2,29.5,29.6,2219,388;1000,0.3,458,493,440,476,,,"- Redid R due to lost connection
- calm, variable PAR (P)
- calm, sunny (A)
- calm, sunny (R, R redo)
- for the first R attempt, the signal strength was very low at the beginning because the sensor fell",TS/AG,no
day,9,"11:30 P;
12:25 A;
12:29 R;
12:35 R redo",3,2,2400,east,1,,455,27.5,26.9,28.2,29.5,29.6,2219,388;1000,0.3,458,439,440,476,,,"- Redid R due to lost connection
- calm, variable PAR (P)
- calm, sunny (A)
- calm, sunny (R, R redo)
- for the first R attempt, the signal strength was very low at the beginning because the sensor fell",TS/AG,no
day,9,"1:28 A;
1:32 P;
1:38 R",3,1,2400,west,1,,429,27.2,27.2,28.0,26.5,27.4,2278,953,6.6,430,430,426,446,,,"- windy, full sun, Li-7500 disconnected for a few times in the beginning (A, P)
- windy, full sun (R)",TS/AG,no
day,9,"1:46 A
1:50 P
1:54 R",3,1,2400,west,2,,436,34.5,25.1,26.2,30.1,28.6,1989,848,6.3,434,438,435,446,,,"windy, full sun (A, P, R)",TS/AG,no
day,9,"1:58 A
2:00 P
2:54 R",3,1,2400,west,3,,431,26.8,24.8,28.3,20.2,21.6,1896,790,4.8,428,431,422,438,,,"- windy, full sun (A, P, R) 
- tent started falling apart between the P & R measurement ",TS/AG,no
day,9,"2:59 A
3:02 P
3:05 R
3:10 Rredo",3,1,2400,west,4,,425,24.4,25.7,24.5,26.8,24.4,1705,788,6.4,247,437,422,436,,,"windy, full sun (A, P)
very windy, full sun (R)",TS/AG,no
day,9,"2:59 A
3:02 P
3:05 R
3:10 Rredo",3,2,2400,west,4,,425,24.4,25.7,24.5,26.8,24.4,1705,788,6.4,247,436,422,441,,,"windy, full sun (A, P)
very windy, full sun (R)",TS/AG,no
day,9,"3:17 A
3:30 P
3:36 R",3,1,2400,west,5,,432,21.7,22.9,22.9,25.8,23.6,1600,605,9,427,437,455,458,,,"- very windy, full sun (A)
- angle of PAR sensor was off but full sun, very windy (P)
- very windy, full sun (R)",TS/AG,no
night,9,20:54,2,1,2200,east,5,,426,12.6,12.6,12.6,13.0,12.7,,,,,,,,428,436,"foggy, windy",HRD/TS,no
night,9,21:01,2,1,2200,east,4,,,13.1,12.8,12.6,12.3,12.2,,,,,,,,428,433,"foggy, windy",HRD/TS,no
night,9,21:05,2,1,2200,east,3,,427,13.4,13.3,12.9,13.2,12.9,,,,,,,,432,440,"foggy, windy",HRD/TS,no
night,9,21:08,2,1,2200,east,2,,,13.1,12.8,12.7,12.3,12.6,,,,,,,,470,438,"foggy, windy",HRD/TS,no
night,9,21:08,2,2,2200,east,2,,,13.1,12.8,12.7,12.3,12.6,,,,,,,,431,,"foggy, windy",HRD/TS,no
night,9,21:19,2,1,2200,east,1,,435,13.0,12.9,12.9,12.7,12.9,,,,,,,,470,442,"foggy, windy",HRD/TS,no
night,9,21:19,2,2,2200,east,1,,435,13.0,12.9,12.9,12.7,12.9,,,,,,,,435,,"foggy, windy",HRD/TS,no
night,9,21:42,2,1,2200,west,5,,443,13.5,13.5,13.4,13.5,13.5,,,,,,,,448,459,"foggy, calm",HRD/TS,no
night,9,21:48,2,1,2200,west,4,,,13.5,13.4,13.4,13.3,13.4,,,,,,,,450,462,"foggy, calm",HRD/TS,no
night,9,21:52,2,1,2200,west,3,,451,13.4,13.4,13.4,13.4,13.4,,,,,,,,432,447,"foggy, calm",HRD/TS,no
night,9,21:52,2,1,2200,west,2,,,13.4,13.4,13.4,13.2,13.4,,,,,,,,437,452,"foggy, calm",HRD/TS,no
night,9,22:05,2,1,2200,west,1,,449,13.4,13.4,13.4,13.3,13.4,,,,,,,,460,,signal strength drop at around 80 sec,HRD/TS,no
night,11,22:00,1,1,2000,east,1,,420,11.5,11.5,12.0,11.4,10.8,,,,,,,,464,,,,no
night,11,22:00,1,2,2000,east,1,,420,11.5,11.5,12.0,11.4,10.8,,,,,,,,450,455,"redo, added 30 sec more",,no
night,11,22:12,1,1,2000,east,2,,,10.2,10.1,10.9,10.9,9.9,,,,,,,,428,446,,GFFR/TS,no
night,11,22:19,1,1,2000,east,3,,408,10.6,10.5,10.5,10.3,9.9,,,,,,,,417,438,,GFFR/TS,no
night,11,22:24,1,1,2000,east,4,,,10.1,10.1,10.2,10.1,10.1,,,,,,,,423,437,,GFFR/TS,no
night,11,22:28,1,1,2000,east,5,,515,10.5,10.0,10.2,10.7,9.8,,,,,,,,417,431,,GFFR/TS,no
night,11,21:25,1,1,2000,west,5,,412,10.5,11.5,11.2,10.9,10.6,,,,,,,,429,438,"calm weather, no fog",GFFR/TS,no
night,11,21:29,1,1,2000,west,4,,,11.9,11.4,11.4,11.6,11.1,,,,,,,,437,464,"calm weather, no fog",GFFR/TS,no
night,11,21:32,1,1,2000,west,3,,417,11.2,11.5,11.8,11.2,10.9,,,,,,,,427,442,"calm weather, no fog",GFFR/TS,no
night,11,21:39,1,1,2000,west,2,,,11.2,11.5,11.4,12.1,12.0,,,,,,,,439,458,"calm weather, no fog",GFFR/TS,no
night,11,21:44,1,1,2000,west,1,,424,10.5,10.5,11.0,11.0,10.8,,,,,,,,422,433,"breezy, no fog",GFFR/TS,no
night,16,19:55,4,1,2600,west,1,,408,12.5,12.7,12.1,12.6,12.4,,,,,,,,412,429,,KB/JN,no
night,16,20:03,4,1,2600,west,2,,,13.8,13.6,13.8,13.6,13.5,,,,,,,,419,423,,KB/JN,no
night,16,20:11,4,1,2600,west,3,,407,13.8,13.0,12.5,12.7,13.0,,,,,,,,414,421,,KB/JN,no
night,16,20:15,4,1,2600,west,4,,,13.6,13.3,13.3,13.5,13.6,,,,,,,,420,425,,KB/JN,no
night,16,20:18,4,1,2600,west,5,,414,12.4,12.6,12.4,12.7,12.7,,,,,,,,412,428,,KB/JN,no
night,16,20:57,4,1,2600,east,1,,408,12.8,12.1,12.5,12.2,12.2,,,,,,,,411,440,,KB/JN,no
night,16,20:54,4,1,2600,east,2,,,12.5,13.1,13.0,12.2,12.5,,,,,,,,413,445,,KB/JN,no
night,16,20:43,4,1,2600,east,3,,407,12.9,12.2,13.1,13.0,12.8,,,,,,,,413,430,weak signal strength during 1st attempt ,KB/JN,no
night,16,20:37,4,1,2600,east,4,,,12.9,12.9,13.2,13.6,13.2,,,,,,,,414,426,,KB/JN,no
night,16,20:28,4,1,2600,east,5,,411,13.0,12.8,12.5,12.0,13.0,,,,,,,,407,418,weak signal strength,KB/JN,no
day,14,10:52,1,1,2000,east,1,,403.4,30.3,30.2,28.2,28.0,29.3,2249,1023,6.9,403.4,403,373,420,,,"breezy, sunny, signalstrength ? (p), breezy, sunny (a), calm, sunny (r), missnaming files (?)",,yes
day,14,11:06,1,1,2000,east,2,,402,32.0,30.6,28.1,28.6,31.1,2234,1013,6.4,401,402,390,411,,,"breezy, sunny (a), breezy, sunny (p), calm, sunny (r)",,yes
day,14,11:16,1,1,2000,east,3,,406,32.0,35.0,34.5,35.1,33.3,2256,1001,7.3,398,493,390,422,,,"breezy, sunny (a), calm, sunny (p), calm, sunny (r)",,yes
day,14,11:25,1,1,2000,east,4,,404,29.5,28.8,30.1,31.5,31.9,2288,1062,6.8,414,405,395,417,,,"breezy, sunny (a), breezy, sunny (p), breezy sunny (r)",,yes
day,14,11:33,1,1,2000,east,5,,405,29.7,30.0,31.9,28.0,32.3,2281,1033,7.4,401,403,394,420,,,"breezy, sunny (a), breezy, sunny (p), breezy sunny (r)",,yes
day,14,9:47,1,1,2000,west,5,,404,19.2,18.9,19.6,20.0,19.7,400,679.3,2.8,401,404,395,416,,,"p:some clouds, but mostly clear.",,yes
day,14,9:47,1,2,2000,west,5,,404,,,,,,1832,862.7,,406,,392,,,,There was a cloud at the end.,,yes
day,14,10:00,1,1,2000,west,4,,407,20.6,18.6,19.8,22.4,19.2,2014,826.7,3.07,398,409,392,417,,,"10:00 cloud in photo, 10:01 cloud in photo, 10:07 cloud",,yes
day,14,10:00,1,2,2000,west,4,,407,,,,,,2014,999.1,,208,,398,,,,"10:00 cloud in photo, 10:01 cloud in photo, 10:07 cloud",,yes
day,14,10:13,1,1,2000,west,3,,401,23.3,22.3,22.4,21.3,22.6,2223,921.7,6.8,399,407,,413,,,"windy, redo",,yes
day,14,10:13,1,2,2000,west,3,,401,,,,,,2223,930,,406,,397,,,,"windy, redo",,yes
day,14,10:29,1,1,2000,west,2,,401,19.3,20.0,22.8,22.8,19.6,2177,948,6.6,400,404,405,414,,,,,yes
day,14,10:29,1,2,2000,west,2,,401,,,,,,2177,948,,403,,207,,,,,,yes
day,14,10:34,1,1,2000,west,1,,407,19.8,19.9,20.9,21.3,19.8,2290,999,6.4,401,403,396,420,,,spice (?) resp 10:41,,yes
