species,site,elevation,treatment,plot_id,tier,trait_name,trait_value,latitude,longitude,burn_year,aspect,year,gradient
Potentilla leuconota,L,3000,c,CH_L1,China_2016,dry_mass_g,0.1141,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.171333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_area_cm2,21.1904,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,sla_cm2_g,185.717791411043,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,ldmc,0.212873134328358,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,wet_mass_g,0.719,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,dry_mass_g,0.1771,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.206333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_area_cm2,31.7178,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,sla_cm2_g,179.095426312818,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,ldmc,0.246314325452017,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,wet_mass_g,0.547,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,dry_mass_g,0.1357,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_thickness_mm,0.187,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,leaf_area_cm2,25.0475,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,sla_cm2_g,184.579955784819,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L1,China_2016,ldmc,0.248080438756856,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,wet_mass_g,0.923,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,dry_mass_g,0.2561,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_thickness_mm,0.206666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_area_cm2,35.3697,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,sla_cm2_g,138.108941819602,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,ldmc,0.277464788732394,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,wet_mass_g,0.626,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,dry_mass_g,0.1834,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_thickness_mm,0.220666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_area_cm2,30.9156,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,sla_cm2_g,168.569247546347,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,ldmc,0.29297124600639,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,wet_mass_g,0.685,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,dry_mass_g,0.1814,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_thickness_mm,0.205666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_area_cm2,25.4781,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,sla_cm2_g,140.452590959206,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,ldmc,0.264817518248175,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,wet_mass_g,0.58,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,dry_mass_g,0.1445,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_thickness_mm,0.193666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_area_cm2,21.1673,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,sla_cm2_g,146.486505190311,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,ldmc,0.249137931034483,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,wet_mass_g,1.366,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,dry_mass_g,0.3909,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_thickness_mm,0.193,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,leaf_area_cm2,53.5663,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,sla_cm2_g,137.033256587362,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L1,China_2016,ldmc,0.286163982430454,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,wet_mass_g,0.724,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,dry_mass_g,0.2143,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_thickness_mm,0.221333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_area_cm2,28.3154,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,sla_cm2_g,132.129724685021,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,ldmc,0.295994475138122,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,wet_mass_g,0.747,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,dry_mass_g,0.2302,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_thickness_mm,0.236333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_area_cm2,31.2961,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,sla_cm2_g,135.951781059948,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,ldmc,0.308165997322624,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,wet_mass_g,0.517,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,dry_mass_g,0.1689,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_thickness_mm,0.21,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_area_cm2,,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,sla_cm2_g,,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,ldmc,0.326692456479691,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,wet_mass_g,0.218,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,dry_mass_g,0.0773,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_thickness_mm,0.211333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_area_cm2,11.3806,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,sla_cm2_g,147.22639068564,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,ldmc,0.354587155963303,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,wet_mass_g,0.147,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,dry_mass_g,0.053,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_thickness_mm,0.228333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,leaf_area_cm2,8.379,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,sla_cm2_g,158.094339622642,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L2,China_2016,ldmc,0.360544217687075,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,wet_mass_g,0.741,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,dry_mass_g,0.1935,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_thickness_mm,0.219333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_area_cm2,28.572,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,sla_cm2_g,147.658914728682,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,ldmc,0.261133603238866,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,wet_mass_g,0.565,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,dry_mass_g,0.1493,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_thickness_mm,0.156333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_area_cm2,25.4127,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,sla_cm2_g,170.212324179504,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,ldmc,0.264247787610619,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,wet_mass_g,0.58,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,dry_mass_g,0.1531,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_thickness_mm,0.234,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_area_cm2,24.8835,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,sla_cm2_g,162.531025473547,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,ldmc,0.263965517241379,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,wet_mass_g,0.358,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,dry_mass_g,0.1036,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_thickness_mm,0.132,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_area_cm2,18.4227,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,sla_cm2_g,177.82528957529,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,ldmc,0.289385474860335,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,wet_mass_g,0.83,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,dry_mass_g,0.2358,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_thickness_mm,0.195,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,leaf_area_cm2,38.3787,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,sla_cm2_g,162.759541984733,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L2,China_2016,ldmc,0.284096385542169,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,wet_mass_g,0.545,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,dry_mass_g,0.1308,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_thickness_mm,0.178666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_area_cm2,20.6106,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,sla_cm2_g,157.573394495413,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,ldmc,0.24,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,wet_mass_g,1.042,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,dry_mass_g,0.2704,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_thickness_mm,0.234333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_area_cm2,40.2345,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,sla_cm2_g,148.796227810651,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,ldmc,0.259500959692898,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,wet_mass_g,0.514,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,dry_mass_g,0.1149,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_thickness_mm,0.142666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_area_cm2,19.8114,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,sla_cm2_g,172.422976501305,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,ldmc,0.223540856031128,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,wet_mass_g,0.552,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,dry_mass_g,0.1448,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_thickness_mm,0.218333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_area_cm2,24.1457,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,sla_cm2_g,166.752071823204,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,ldmc,0.26231884057971,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,wet_mass_g,0.515,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,dry_mass_g,0.1309,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_thickness_mm,0.172,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,leaf_area_cm2,23.2943,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,sla_cm2_g,177.954927425516,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,c,CH_L3,China_2016,ldmc,0.254174757281553,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,wet_mass_g,0.358,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,dry_mass_g,0.0778,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,leaf_thickness_mm,0.29,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,leaf_area_cm2,12.2456,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,sla_cm2_g,157.398457583548,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,ldmc,0.21731843575419,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,wet_mass_g,0.171,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,dry_mass_g,0.041,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,leaf_thickness_mm,0.252666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,leaf_area_cm2,7.3963,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,sla_cm2_g,180.39756097561,29.84347,102.0343,,,2016,Eastern Himalayas
Plantago asiatica,L,3000,otc,CH_L3,China_2016,ldmc,0.239766081871345,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,wet_mass_g,1.108,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,dry_mass_g,0.3063,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_thickness_mm,0.423333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_area_cm2,49.0655,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,sla_cm2_g,160.187724453151,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,ldmc,0.2764440433213,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,wet_mass_g,0.777,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,dry_mass_g,0.2096,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_thickness_mm,0.398666666666667,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_area_cm2,33.5686,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,sla_cm2_g,160.155534351145,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,ldmc,0.26975546975547,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,wet_mass_g,0.81,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,dry_mass_g,0.2376,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_thickness_mm,0.327333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,leaf_area_cm2,38.1326,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,sla_cm2_g,160.490740740741,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,ldmc,0.293333333333333,29.84347,102.0343,,,2016,Eastern Himalayas
Potentilla leuconota,L,3000,otc,CH_L3,China_2016,wet_mass_g,0.431,29.84347,102.0343,,,2016,Eastern Himalayas
