tier,plot_id,SpeciesRichness,VegPlotSizeM2
Colorado_2016,US_almont4,3,0.25
Colorado_2016,US_almont5,3,0.25
Colorado_2016,US_cbt1,3,0.25
Colorado_2016,US_cbt2,4,0.25
Colorado_2016,US_cbt3,4,0.25
Colorado_2016,US_cbt4,5,0.25
Colorado_2016,US_cbt5,3,0.25
Colorado_2016,US_pfeiler1,1,0.25
Colorado_2016,US_pfeiler2,4,0.25
Colorado_2016,US_pfeiler3,4,0.25
Colorado_2016,US_pfeiler4,4,0.25
Colorado_2016,US_pfeiler5,5,0.25
Colorado_2016,US_road1,4,0.25
Colorado_2016,US_road2,4,0.25
Colorado_2016,US_road3,4,0.25
Colorado_2016,US_road4,4,0.25
Colorado_2016,US_road5,5,0.25
Colorado_2018,US_cbt1,4,0.25
Colorado_2018,US_cbt2,3,0.25
Colorado_2018,US_cbt3,3,0.25
Colorado_2018,US_cbt4,3,0.25
Colorado_2018,US_cbt5,3,0.25
Colorado_2018,US_pbm1,3,0.25
Colorado_2018,US_pbm2,3,0.25
Colorado_2018,US_pbm3,1,0.25
Colorado_2018,US_pbm4,4,0.25
Colorado_2018,US_pbm5,3,0.25
Colorado_2018,US_pfeiler1,4,0.25
Colorado_2018,US_pfeiler2,5,0.25
Colorado_2018,US_pfeiler3,5,0.25
Colorado_2018,US_pfeiler4,3,0.25
Colorado_2018,US_pfeiler5,4,0.25
Colorado_2018,US_road1,5,0.25
Colorado_2018,US_road2,3,0.25
Colorado_2018,US_road3,3,0.25
Colorado_2018,US_road4,2,0.25
Colorado_2018,US_road5,3,0.25
Norway_2022,NO_Hog_TTC 101,17,0.25
Norway_2022,NO_Hog_TTC 110,15,0.25
Norway_2022,NO_Hog_TTC 115,16,0.25
Norway_2022,NO_Joa_109 AN3C 109,7,0.25
Norway_2022,NO_Joa_111 AN3N 111,6,0.25
Norway_2022,NO_Joa_156 AN2C 156,10,0.25
Norway_2022,NO_Joa_160 AN2N 160,10,0.25
Norway_2022,NO_Joa_81 AN1C 81,8,0.25
Norway_2022,NO_Joa_88 AN1N 88,9,0.25
Norway_2022,NO_Lia_27 AN3C 27,13,0.25
Norway_2022,NO_Lia_31 AN3N 31,14,0.25
Norway_2022,NO_Lia_4 AN1C 4,13,0.25
Norway_2022,NO_Lia_7 AN1N 7,13,0.25
Norway_2022,NO_Lia_77 AN2C 77,12,0.25
Norway_2022,NO_Lia_79 AN2N 79,9,0.25
Norway_2022,NO_Vik_TTC 141,11,0.25
Norway_2022,NO_Vik_TTC 146,18,0.25
Norway_2022,,18,0.25
Peru_2018,PE_ACJ_B_1,20,1.44
Peru_2018,PE_ACJ_B_2,18,1.44
Peru_2018,PE_ACJ_B_3,17,1.44
Peru_2018,PE_ACJ_B_4,11,1.44
Peru_2018,PE_ACJ_B_5,15,1.44
Peru_2018,PE_ACJ_C_1,19,1.44
Peru_2018,PE_ACJ_C_2,14,1.44
Peru_2018,PE_ACJ_C_3,16,1.44
Peru_2018,PE_ACJ_C_4,14,1.44
Peru_2018,PE_ACJ_C_5,14,1.44
Peru_2018,PE_PIL_BB_1,11,1.44
Peru_2018,PE_PIL_BB_2,9,1.44
Peru_2018,PE_PIL_BB_3,9,1.44
Peru_2018,PE_PIL_BB_5,4,1.44
Peru_2018,PE_PIL_B_1,11,1.44
Peru_2018,PE_PIL_B_2,12,1.44
Peru_2018,PE_PIL_B_3,12,1.44
Peru_2018,PE_PIL_B_4,15,1.44
Peru_2018,PE_PIL_B_5,10,1.44
Peru_2018,PE_PIL_C_1,12,1.44
Peru_2018,PE_PIL_C_2,14,1.44
Peru_2018,PE_PIL_C_3,15,1.44
Peru_2018,PE_PIL_C_4,17,1.44
Peru_2018,PE_PIL_C_5,17,1.44
Peru_2018,PE_QUE_B_1,26,1.44
Peru_2018,PE_QUE_B_2,27,1.44
Peru_2018,PE_QUE_B_3,24,1.44
Peru_2018,PE_QUE_B_4,26,1.44
Peru_2018,PE_QUE_B_5,22,1.44
Peru_2018,PE_TRE_C_1,13,1.44
Peru_2018,PE_TRE_C_2,17,1.44
Peru_2018,PE_TRE_C_3,20,1.44
Peru_2018,PE_TRE_C_4,13,1.44
Peru_2018,PE_TRE_C_5,15,1.44
Peru_2018,PE_WAY_B_1,15,1.44
Peru_2018,PE_WAY_B_2,12,1.44
Peru_2018,PE_WAY_B_3,15,1.44
Peru_2018,PE_WAY_B_4,13,1.44
Peru_2018,PE_WAY_B_5,15,1.44
Peru_2018,PE_WAY_C_1,15,1.44
Peru_2018,PE_WAY_C_2,14,1.44
Peru_2018,PE_WAY_C_3,14,1.44
Peru_2018,PE_WAY_C_4,13,1.44
Peru_2018,PE_WAY_C_5,13,1.44
Peru_2019,PE_ACJ_B_1,17,1.44
Peru_2019,PE_ACJ_B_2,5,1.44
Peru_2019,PE_ACJ_B_3,15,1.44
Peru_2019,PE_ACJ_B_4,9,1.44
Peru_2019,PE_ACJ_B_5,15,1.44
Peru_2019,PE_ACJ_C_1,26,1.44
Peru_2019,PE_ACJ_C_2,1,1.44
Peru_2019,PE_ACJ_C_3,9,1.44
Peru_2019,PE_ACJ_C_4,1,1.44
Peru_2019,PE_ACJ_C_5,19,1.44
Peru_2019,PE_ACJ_NB_1,13,1.44
Peru_2019,PE_ACJ_NB_2,8,1.44
Peru_2019,PE_ACJ_NB_3,6,1.44
Peru_2019,PE_ACJ_NB_4,5,1.44
Peru_2019,PE_ACJ_NB_5,9,1.44
Peru_2019,PE_ACJ_NB_General,1,1.44
Peru_2019,PE_OCC_C_1,14,1.44
Peru_2019,PE_PIL_B_1,16,1.44
Peru_2019,PE_PIL_B_2,4,1.44
Peru_2019,PE_PIL_B_3,17,1.44
Peru_2019,PE_PIL_B_4,3,1.44
Peru_2019,PE_PIL_B_5,17,1.44
Peru_2019,PE_PIL_C_1,14,1.44
Peru_2019,PE_PIL_C_2,8,1.44
Peru_2019,PE_PIL_C_3,23,1.44
Peru_2019,PE_PIL_C_4,6,1.44
Peru_2019,PE_PIL_C_5,14,1.44
Peru_2019,PE_QUE_B_1,20,1.44
Peru_2019,PE_QUE_B_2,3,1.44
Peru_2019,PE_QUE_B_3,19,1.44
Peru_2019,PE_QUE_B_4,3,1.44
Peru_2019,PE_QUE_B_5,28,1.44
Peru_2019,PE_TRE_C_1,20,1.44
Peru_2019,PE_TRE_C_2,8,1.44
Peru_2019,PE_TRE_C_3,20,1.44
Peru_2019,PE_TRE_C_4,3,1.44
Peru_2019,PE_TRE_C_5,14,1.44
Peru_2019,PE_TRE_NB_1,8,1.44
Peru_2019,PE_TRE_NB_2,9,1.44
Peru_2019,PE_TRE_NB_3,13,1.44
Peru_2019,PE_TRE_NB_4,6,1.44
Peru_2019,PE_TRE_NB_5,11,1.44
Peru_2019,PE_WAY_B_1,20,1.44
Peru_2019,PE_WAY_B_2,6,1.44
Peru_2019,PE_WAY_B_3,19,1.44
Peru_2019,PE_WAY_B_4,7,1.44
Peru_2019,PE_WAY_B_5,20,1.44
Peru_2019,PE_WAY_C_1,16,1.44
Peru_2019,PE_WAY_C_2,6,1.44
Peru_2019,PE_WAY_C_3,17,1.44
Peru_2019,PE_WAY_C_4,7,1.44
Peru_2019,PE_WAY_C_5,24,1.44
Peru_2020,PE_ACJ_C_1,14,1.44
Peru_2020,PE_ACJ_C_2,13,1.44
Peru_2020,PE_ACJ_C_3,15,1.44
Peru_2020,PE_ACJ_C_4,12,1.44
Peru_2020,PE_ACJ_C_5,15,1.44
Peru_2020,PE_ACJ_NB_1,5,1.44
Peru_2020,PE_ACJ_NB_2,4,1.44
Peru_2020,PE_ACJ_NB_3,5,1.44
Peru_2020,PE_ACJ_NB_4,5,1.44
Peru_2020,PE_ACJ_NB_5,3,1.44
Peru_2020,PE_QUE_NB_1,22,1.44
Peru_2020,PE_QUE_NB_2,18,1.44
Peru_2020,PE_QUE_NB_3,9,1.44
Peru_2020,PE_QUE_NB_4,15,1.44
Peru_2020,PE_QUE_NB_5,16,1.44
Peru_2020,PE_TRE_C_1,9,1.44
Peru_2020,PE_TRE_C_2,10,1.44
Peru_2020,PE_TRE_C_3,15,1.44
Peru_2020,PE_TRE_C_4,9,1.44
Peru_2020,PE_TRE_C_5,13,1.44
Peru_2020,PE_TRE_NB_1,5,1.44
Peru_2020,PE_TRE_NB_2,7,1.44
Peru_2020,PE_TRE_NB_3,6,1.44
Peru_2020,PE_TRE_NB_4,5,1.44
Peru_2020,PE_TRE_NB_5,6,1.44
Peru_2020,PE_WAY_C_1,8,1.44
Peru_2020,PE_WAY_C_2,5,1.44
Peru_2020,PE_WAY_C_3,6,1.44
Peru_2020,PE_WAY_C_4,6,1.44
Peru_2020,PE_WAY_C_5,6,1.44
South_Africa_2023,SA_2000NA0,1,1.44
South_Africa_2023,SA_2000east0,5,1.44
South_Africa_2023,SA_2000east1,13,1.44
South_Africa_2023,SA_2000east2,15,1.44
South_Africa_2023,SA_2000east3,16,1.44
South_Africa_2023,SA_2000east4,17,1.44
South_Africa_2023,SA_2000east5,16,1.44
South_Africa_2023,SA_2000eastNA,4,1.44
South_Africa_2023,SA_2000west0,3,1.44
South_Africa_2023,SA_2000west1,20,1.44
South_Africa_2023,SA_2000west2,18,1.44
South_Africa_2023,SA_2000west3,22,1.44
South_Africa_2023,SA_2000west4,22,1.44
South_Africa_2023,SA_2000west5,19,1.44
South_Africa_2023,SA_2000westNA,9,1.44
South_Africa_2023,SA_2200NA2,1,1.44
South_Africa_2023,SA_2200NA5,1,1.44
South_Africa_2023,SA_2200east0,5,1.44
South_Africa_2023,SA_2200east1,27,1.44
South_Africa_2023,SA_2200east2,25,1.44
South_Africa_2023,SA_2200east3,28,1.44
South_Africa_2023,SA_2200east4,23,1.44
South_Africa_2023,SA_2200east5,25,1.44
South_Africa_2023,SA_2200eastNA,2,1.44
South_Africa_2023,SA_2200west0,3,1.44
South_Africa_2023,SA_2200west1,26,1.44
South_Africa_2023,SA_2200west2,29,1.44
South_Africa_2023,SA_2200west3,22,1.44
South_Africa_2023,SA_2200west4,31,1.44
South_Africa_2023,SA_2200west5,23,1.44
South_Africa_2023,SA_2200westNA,1,1.44
South_Africa_2023,SA_2400east0,5,1.44
South_Africa_2023,SA_2400east1,18,1.44
South_Africa_2023,SA_2400east2,23,1.44
South_Africa_2023,SA_2400east3,22,1.44
South_Africa_2023,SA_2400east4,17,1.44
South_Africa_2023,SA_2400east5,15,1.44
South_Africa_2023,SA_2400west0,4,1.44
South_Africa_2023,SA_2400west1,21,1.44
South_Africa_2023,SA_2400west2,5,1.44
South_Africa_2023,SA_2400west3,28,1.44
South_Africa_2023,SA_2400west4,18,1.44
South_Africa_2023,SA_2400west5,19,1.44
South_Africa_2023,SA_2400westNA,3,1.44
South_Africa_2023,SA_2600east0,3,1.44
South_Africa_2023,SA_2600east1,18,1.44
South_Africa_2023,SA_2600east2,26,1.44
South_Africa_2023,SA_2600east3,24,1.44
South_Africa_2023,SA_2600east4,41,1.44
South_Africa_2023,SA_2600east5,31,1.44
South_Africa_2023,SA_2600west0,3,1.44
South_Africa_2023,SA_2600west1,25,1.44
South_Africa_2023,SA_2600west2,18,1.44
South_Africa_2023,SA_2600west3,19,1.44
South_Africa_2023,SA_2600west4,23,1.44
South_Africa_2023,SA_2600west5,15,1.44
South_Africa_2023,SA_2800NA0,1,1.44
South_Africa_2023,SA_2800east0,4,1.44
South_Africa_2023,SA_2800east1,8,1.44
South_Africa_2023,SA_2800east2,13,1.44
South_Africa_2023,SA_2800east3,13,1.44
South_Africa_2023,SA_2800east4,21,1.44
South_Africa_2023,SA_2800east5,17,1.44
South_Africa_2023,SA_2800eastNA,10,1.44
South_Africa_2023,SA_2800west0,4,1.44
South_Africa_2023,SA_2800west1,17,1.44
South_Africa_2023,SA_2800west2,19,1.44
South_Africa_2023,SA_2800west3,11,1.44
South_Africa_2023,SA_2800west4,16,1.44
South_Africa_2023,SA_2800west5,11,1.44
South_Africa_2023,SA_2800westNA,9,1.44
South_Africa_2023,SA_NANA3,1,1.44
South_Africa_2023,SA_NANANA,1,1.44
Svalbard_2018,SV_B1A,3,0.5625
Svalbard_2018,SV_B1B,4,0.5625
Svalbard_2018,SV_B1C,5,0.5625
Svalbard_2018,SV_B1D,4,0.5625
Svalbard_2018,SV_B1E,4,0.5625
Svalbard_2018,SV_B1F,3,0.5625
Svalbard_2018,SV_B1G,5,0.5625
Svalbard_2018,SV_B1NA,2,0.5625
Svalbard_2018,SV_B2A,3,0.5625
Svalbard_2018,SV_B2B,4,0.5625
Svalbard_2018,SV_B2C,3,0.5625
Svalbard_2018,SV_B2D,2,0.5625
Svalbard_2018,SV_B2E,3,0.5625
Svalbard_2018,SV_B2F,4,0.5625
Svalbard_2018,SV_B2G,4,0.5625
Svalbard_2018,SV_B2NA,3,0.5625
Svalbard_2018,SV_B3A,3,0.5625
Svalbard_2018,SV_B3B,4,0.5625
Svalbard_2018,SV_B3C,2,0.5625
Svalbard_2018,SV_B3D,1,0.5625
Svalbard_2018,SV_B3E,3,0.5625
Svalbard_2018,SV_B3F,2,0.5625
Svalbard_2018,SV_B3G,2,0.5625
Svalbard_2018,SV_B3NA,4,0.5625
Svalbard_2018,SV_B4A,3,0.5625
Svalbard_2018,SV_B4B,2,0.5625
Svalbard_2018,SV_B4C,6,0.5625
Svalbard_2018,SV_B4D,3,0.5625
Svalbard_2018,SV_B4E,2,0.5625
Svalbard_2018,SV_B4F,2,0.5625
Svalbard_2018,SV_B4G,3,0.5625
Svalbard_2018,SV_B4NA,3,0.5625
Svalbard_2018,SV_B5A,6,0.5625
Svalbard_2018,SV_B5B,7,0.5625
Svalbard_2018,SV_B5C,4,0.5625
Svalbard_2018,SV_B5D,4,0.5625
Svalbard_2018,SV_B5E,5,0.5625
Svalbard_2018,SV_B5F,7,0.5625
Svalbard_2018,SV_B5G,6,0.5625
Svalbard_2018,SV_B5NA,3,0.5625
Svalbard_2018,SV_C1A,7,0.5625
Svalbard_2018,SV_C1B,4,0.5625
Svalbard_2018,SV_C1C,7,0.5625
Svalbard_2018,SV_C1D,6,0.5625
Svalbard_2018,SV_C1E,4,0.5625
Svalbard_2018,SV_C1F,7,0.5625
Svalbard_2018,SV_C1G,5,0.5625
Svalbard_2018,SV_C1NA,3,0.5625
Svalbard_2018,SV_C2A,8,0.5625
Svalbard_2018,SV_C2B,7,0.5625
Svalbard_2018,SV_C2C,7,0.5625
Svalbard_2018,SV_C2D,7,0.5625
Svalbard_2018,SV_C2E,6,0.5625
Svalbard_2018,SV_C2F,6,0.5625
Svalbard_2018,SV_C2G,4,0.5625
Svalbard_2018,SV_C2NA,2,0.5625
Svalbard_2018,SV_C3A,7,0.5625
Svalbard_2018,SV_C3B,7,0.5625
Svalbard_2018,SV_C3C,6,0.5625
Svalbard_2018,SV_C3D,5,0.5625
Svalbard_2018,SV_C3E,9,0.5625
Svalbard_2018,SV_C3F,6,0.5625
Svalbard_2018,SV_C3G,7,0.5625
Svalbard_2018,SV_C3NA,4,0.5625
Svalbard_2018,SV_C4A,2,0.5625
Svalbard_2018,SV_C4B,7,0.5625
Svalbard_2018,SV_C4C,5,0.5625
Svalbard_2018,SV_C4D,7,0.5625
Svalbard_2018,SV_C4E,8,0.5625
Svalbard_2018,SV_C4F,6,0.5625
Svalbard_2018,SV_C4G,9,0.5625
Svalbard_2018,SV_C4NA,3,0.5625
Svalbard_2018,SV_C5A,3,0.5625
Svalbard_2018,SV_C5B,4,0.5625
Svalbard_2018,SV_C5C,4,0.5625
Svalbard_2018,SV_C5D,4,0.5625
Svalbard_2018,SV_C5E,5,0.5625
Svalbard_2018,SV_C5F,9,0.5625
Svalbard_2018,SV_C5G,6,0.5625
Svalbard_2018,SV_C5NA,3,0.5625
Svalbard_2018,SV_C6A,3,0.5625
Svalbard_2018,SV_C6B,5,0.5625
Svalbard_2018,SV_C6C,6,0.5625
Svalbard_2018,SV_C6D,5,0.5625
Svalbard_2018,SV_C6E,4,0.5625
Svalbard_2018,SV_C6F,4,0.5625
Svalbard_2018,SV_C6G,8,0.5625
Svalbard_2018,SV_C6NA,4,0.5625
Svalbard_2018,SV_C7A,4,0.5625
Svalbard_2018,SV_C7B,4,0.5625
Svalbard_2018,SV_C7C,3,0.5625
Svalbard_2018,SV_C7D,3,0.5625
Svalbard_2018,SV_C7NA,3,0.5625
Svalbard_2018,SV_ITEX8_LOTC,1,0.5625
Svalbard_2018,SV_ITEXBIS_L1,4,0.5625
Svalbard_2018,SV_ITEXBIS_L10,6,0.5625
Svalbard_2018,SV_ITEXBIS_L2,5,0.5625
Svalbard_2018,SV_ITEXBIS_L3,6,0.5625
Svalbard_2018,SV_ITEXBIS_L4,5,0.5625
Svalbard_2018,SV_ITEXBIS_L5,6,0.5625
Svalbard_2018,SV_ITEXBIS_L6,4,0.5625
Svalbard_2018,SV_ITEXBIS_L7,5,0.5625
Svalbard_2018,SV_ITEXBIS_L8,5,0.5625
Svalbard_2018,SV_ITEXBIS_L9,4,0.5625
Svalbard_2018,SV_ITEXCAS_L1,5,0.5625
Svalbard_2018,SV_ITEXCAS_L10,4,0.5625
Svalbard_2018,SV_ITEXCAS_L3,3,0.5625
Svalbard_2018,SV_ITEXCAS_L4,5,0.5625
Svalbard_2018,SV_ITEXCAS_L5,5,0.5625
Svalbard_2018,SV_ITEXCAS_L6,5,0.5625
Svalbard_2018,SV_ITEXCAS_L7,5,0.5625
Svalbard_2018,SV_ITEXCAS_L8,6,0.5625
Svalbard_2018,SV_ITEXCAS_L9,4,0.5625
Svalbard_2018,SV_ITEXDRY_L1,6,0.5625
Svalbard_2018,SV_ITEXDRY_L10,4,0.5625
Svalbard_2018,SV_ITEXDRY_L2,8,0.5625
Svalbard_2018,SV_ITEXDRY_L3,4,0.5625
Svalbard_2018,SV_ITEXDRY_L4,5,0.5625
Svalbard_2018,SV_ITEXDRY_L5,7,0.5625
Svalbard_2018,SV_ITEXDRY_L6,4,0.5625
Svalbard_2018,SV_ITEXDRY_L7,3,0.5625
Svalbard_2018,SV_ITEXDRY_L8,7,0.5625
Svalbard_2018,SV_ITEXDRY_L9,3,0.5625
Svalbard_2018,SV_ITEXNA_LNA,1,0.5625
