season,site,date,year,month,day,time,plot,amb_co2_umol_mol,x7500_amb_temp,measured_amb_temp,avg_pressure,avg_leaf_temp,avg_leaf_temp_before_respiration,avg_leaf_temp_after_respiration,h2o_avg,linear,exp,best_fit,averages,linear_avgs,lin_rsqd,comment
Early,ROAD,2009-06-15,2009,6,15,NIGHT,3,456.571351,11.50728,5.7,72.78117,4.96,NA,NA,NA,3.732819,7.5505339999999999,3.732819,NA,NA,NA,NA
Early,ROAD,2009-06-15,2009,6,15,NIGHT,4,454.588276,11.02212,4.3,72.81131,4.52,NA,NA,NA,3.806694,11.176640000000001,3.806694,NA,NA,NA,NA
Early,ROAD,2009-06-15,2009,6,15,NIGHT,5,449.930769,11.11596,4.3,72.73585,5.32,NA,NA,NA,4.244785,149.11330000000001,4.244785,NA,NA,NA,NA
Early,PFEILER,2009-06-23,2009,6,23,DAY,1,373.112923,23.60614,19,69.79752,13.48,NA,NA,13.25867,-14.02983,-15.91202,-15.91202,-12.037355800000002,-9.7098208,NA,NA
Early,PFEILER,2009-06-23,2009,6,23,DAY,2,380.158205,22.8515,15.8,69.96103,14.88,NA,NA,16.05187,-18.26582,-17.55499,-18.26582,NA,NA,NA,NA
Early,PFEILER,2009-06-23,2009,6,23,DAY,3,388.304507,22.4523,16.2,69.93584,14,NA,NA,14.3354,-5.204304,-19.518149999999999,-5.204304,NA,NA,NA,NA
Early,PFEILER,2009-06-23,2009,6,23,DAY,4,382.061622,21.43969,19.3,69.89643,15.76,NA,NA,13.84367,-4.997603,-11.571350000000001,-11.57135,NA,NA,NA,NA
Early,PFEILER,2009-06-23,2009,6,23,DAY,5,393.928971,17.60902,16.5,69.88686,13.24,NA,NA,13.73255,-6.051547,-9.2332850000000004,-9.233285,NA,NA,NA,NA
Early,PFEILER,2009-06-22,2009,6,22,NIGHT,1,399.877561,16.57587,7.1,69.8505,7.68,NA,NA,11.67479,3.919439,No Fit,3.919439,4.96164925,4.934217666666666,NA,NA
Early,PFEILER,2009-06-22,2009,6,22,NIGHT,2,409.035294,16.41513,7.6,69.83496,7.16,NA,NA,10.23097,5.657351,No Fit,5.657351,NA,NA,NA,NA
Early,PFEILER,2009-06-22,2009,6,22,NIGHT,3,402.86667,15.89542,6.7,69.83366,6.2,NA,NA,10.42802,5.214396,5.2369159999999999,5.236916,NA,NA,NA,NA
Early,PFEILER,2009-06-22,2009,6,22,NIGHT,4,411.066087,15.74009,8.3,69.7969,4.72,NA,NA,9.488142,5.515838,5.0328910000000002,5.032891,NA,NA,NA,NA
Early,PFEILER,2009-06-22,2009,6,22,NIGHT,5,401.494933,15.64229,8.4,69.77646,5.6,NA,NA,9.099722,4.680946,4.5328460000000002,4.532846,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,DAY,1,382.131,23.43872,20.2,68.38543,22.24,NA,NA,17.32138,-17.39193,No Fit,-17.39193,-13.4853218,-14.968945000000001,NA,NA
Early,PBM,2009-06-29,2009,6,29,DAY,2,380.632195,22.34587,17,68.38577,16.6,NA,NA,20.85077,-18.20141,-18.066099999999999,-18.0661,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,DAY,3,378.124194,21.19144,19.3,68.39278,19.56,NA,NA,19.38021,-8.263309,-18.104410000000001,-8.263309,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,DAY,4,377.629048,20.20104,18.8,68.37865,14.36,NA,NA,18.07896,-13.21268,-12.809850000000001,-12.80985,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,DAY,5,400.449841,18.81263,22.1,68.36354,14.56,NA,NA,18.07879,-8.559901,-10.89542,-10.89542,4.203521967217037,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,NIGHT,1,402.463846,14.43581,8.5,68.36032,6.4,NA,NA,12.16237,4.615112,11.27398,4.615112,6.132858199999999,5.3117288,NA,NA
Early,PBM,2009-06-29,2009,6,29,NIGHT,2,394.325,14.73646,8.7,68.3594,3.28,NA,NA,12.17717,6.107617,10.666550000000001,6.107617,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,NIGHT,3,404.364,14.9419,8.3,68.36152,6.24,NA,NA,11.76457,6.323315,5.971082,6.323315,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,NIGHT,4,389.2256,14.8666,9.9,68.35087,8.88,NA,NA,11.15854,5.42107,9.5267169999999997,9.526717,NA,NA,NA,NA
Early,PBM,2009-06-29,2009,6,29,NIGHT,5,399.26,15.12091,8.8,68.32606,5.04,NA,NA,11.55667,4.09153,13.091939999999999,4.09153,2.1228378890597615,NA,NA,NA
Late,ALMONT,2009-07-06,2009,7,6,DAY,1,405.284898,24.71098,16.8,76.02843,14.8,NA,NA,12.9152,-3.702697,-5.9299119999999998,-5.929912,-5.1855744,-4.2622805999999995,NA,NA
Late,ALMONT,2009-07-06,2009,7,6,DAY,2,406.555789,23.54752,19.8,76.04822,18.2,NA,NA,12.95386,-4.130114,-4.5372640000000004,-4.537264,NA,NA,NA,NA
Late,ALMONT,2009-07-06,2009,7,6,DAY,3,407.914898,22.64556,19.7,76.06044,18.16,NA,NA,13.29681,-3.563989,-5.4727629999999996,-5.472763,NA,NA,NA,NA
Late,ALMONT,2009-07-06,2009,7,6,DAY,4,407.6605,21.73953,19.6,76.07917,22.72,NA,NA,12.55477,-6.357672,-5.390155,-6.357672,NA,NA,NA,NA
Late,ALMONT,2009-07-06,2009,7,6,DAY,5,404.078889,20.23168,19.8,76.10024,20.32,NA,NA,13.27104,-3.556931,-3.630261,-3.630261,NA,NA,NA,NA
Late,ALMONT,2009-07-07,2009,7,7,NIGHT,1,412.773333,19.38045,12.9,75.88899,14.32,NA,NA,11.41764,2.651015,2.8152200000000001,2.651015,1.9559040000000003,1.7786946000000001,NA,NA
Late,ALMONT,2009-07-07,2009,7,7,NIGHT,2,405.23875,19.61691,14.5,75.9117,13.32,NA,NA,11.86202,1.122613,5.0620139999999996,1.122613,NA,NA,NA,NA
Late,ALMONT,2009-07-07,2009,7,7,NIGHT,3,408.132059,19.73828,13.9,75.92441,11.92,NA,NA,12.0614,1.194449,3.4700280000000001,1.194449,NA,NA,NA,NA
Late,ALMONT,2009-07-07,2009,7,7,NIGHT,4,403.475263,19.63281,14.3,75.93969,11.96,NA,NA,11.61021,2.439681,2.8555389999999998,2.855539,NA,NA,NA,NA
Late,ALMONT,2009-07-07,2009,7,7,NIGHT,5,410.298269,19.73851,13.6,75.97269,8.84,NA,NA,11.78946,1.485715,3.6938110000000002,NA,NA,NA,NA,NA
Late,CBT,2009-07-14,2009,7,14,DAY,1,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-14,2009,7,14,DAY,2,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-14,2009,7,14,DAY,3,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-14,2009,7,14,DAY,4,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-14,2009,7,14,DAY,5,NA,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-13,2009,7,13,NIGHT,1,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-13,2009,7,13,NIGHT,2,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-13,2009,7,13,NIGHT,3,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-13,2009,7,13,NIGHT,4,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,CBT,2009-07-13,2009,7,13,NIGHT,5,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-14,2009,7,14,DAY,1,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-14,2009,7,14,DAY,2,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-14,2009,7,14,DAY,3,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-14,2009,7,14,DAY,4,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-14,2009,7,14,DAY,5,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-13,2009,7,13,NIGHT,1,NA,NA,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-13,2009,7,13,NIGHT,2,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-13,2009,7,13,NIGHT,3,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-13,2009,7,13,NIGHT,4,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,ROAD,2009-07-13,2009,7,13,NIGHT,5,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-22,2009,7,22,DAY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-22,2009,7,22,DAY,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-22,2009,7,22,DAY,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-22,2009,7,22,DAY,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-22,2009,7,22,DAY,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-21,2009,7,21,NIGHT,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-21,2009,7,21,NIGHT,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-21,2009,7,21,NIGHT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-21,2009,7,21,NIGHT,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PFEILER,2009-07-21,2009,7,21,NIGHT,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-28,2009,7,28,DAY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-28,2009,7,28,DAY,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-28,2009,7,28,DAY,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-28,2009,7,28,DAY,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-28,2009,7,28,DAY,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-27,2009,7,27,NIGHT,1,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-27,2009,7,27,NIGHT,2,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-27,2009,7,27,NIGHT,3,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-27,2009,7,27,NIGHT,4,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late,PBM,2009-07-27,2009,7,27,NIGHT,5,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early,ALMONT,2010-06-04,2010,6,4,DAY,1,393.4958,18.18269,NA,75.86591,NA,NA,NA,12.45634,-3.948676,-4.3797680000000003,-4.379768,-2.7848772,-4.018954,0.9813383,NA
Early,ALMONT,2010-06-04,2010,6,4,DAY,2,393.9961,19.69409,NA,75.87333,NA,NA,NA,12.93097,-4.655376,6.2877020000000003,6.287702,NA,NA,0.97414,NA
Early,ALMONT,2010-06-04,2010,6,4,DAY,3,394.1127,21.31742,NA,75.88591,NA,NA,NA,13.32548,-2.995852,-3.4027720000000001,-3.402772,NA,NA,0.95536,NA
Early,ALMONT,2010-06-04,2010,6,4,DAY,4,396.4999,22.83462,NA,75.88677,NA,NA,NA,14.47914,-5.53458,-4.4142409999999996,-5.53458,NA,NA,0.9877096,NA
Early,ALMONT,2010-06-04,2010,6,4,DAY,5,402.8143,25.81333,NA,75.86687,NA,NA,NA,11.06958,-2.960286,-6.8949680000000004,-6.894968,NA,NA,0.929313,NA
Early,ALMONT,2010-06-01,2010,6,1,NIGHT,1,412.2702,16.05044,NA,75.60856,NA,NA,NA,5.634556,1.968182,3.555758,3.555758,4.3777178,1.696657,0.9665327,NA
Early,ALMONT,2010-06-01,2010,6,1,NIGHT,2,409.1819,16.01489,NA,75.625,NA,NA,NA,5.485667,2.775359,4.6257130000000002,4.625713,NA,NA,0.9609224,NA
Early,ALMONT,2010-06-01,2010,6,1,NIGHT,3,406.5024,16.0088,NA,75.65815,NA,NA,NA,5.233696,1.134696,3.909745,3.909745,NA,NA,0.9150686,NA
Early,ALMONT,2010-06-01,2010,6,1,NIGHT,4,411.0843,16.09914,NA,75.67323,NA,NA,NA,5.354301,1.338131,2.7947709999999999,2.794771,NA,NA,0.9436357,NA
Early,ALMONT,2010-06-01,2010,6,1,NIGHT,5,416.4764,15.73967,NA,75.69385,NA,NA,NA,5.745385,1.266917,7.0026020000000004,7.002602,NA,NA,0.9034858,NA
Early,CBT,2010-06-07,2010,6,7,DAY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.04876325,-6.93597225,NA,No fit: poor data
Early,CBT,2010-06-07,2010,6,7,DAY,2,395.0041,25.27404,NA,74.02809,NA,NA,NA,18.14298,-6.657203,-9.102328,-9.102328,NA,NA,0.9871885,NA
Early,CBT,2010-06-07,2010,6,7,DAY,3,399.5637,29.03351,NA,74.00521,NA,NA,NA,17.61394,-6.575877,-8.4833219999999994,-8.483322,NA,NA,0.9813618,NA
Early,CBT,2010-06-07,2010,6,7,DAY,4,398.9658,29.64194,NA,73.99,NA,NA,NA,17.69957,-6.455245,-6.553839,-6.553839,NA,NA,0.98628,NA
Early,CBT,2010-06-07,2010,6,7,DAY,5,400.3239,30.06415,NA,73.99351,NA,NA,NA,18.00404,-8.055564,-6.6982340000000002,-8.055564,NA,NA,0.9928002,NA
Early,CBT,2010-06-07,2010,6,7,NIGHT,1,430.6861,14.92387,NA,73.71527,NA,NA,NA,10.36645,9.336697,NA,9.336697,10.9759524,7.2771526,0.9844929,no fit
Early,CBT,2010-06-07,2010,6,7,NIGHT,2,452.1028,14.9686,NA,73.74215,NA,NA,NA,11.28151,9.439364,NA,9.439364,NA,NA,0.9869514,no fit
Early,CBT,2010-06-07,2010,6,7,NIGHT,3,452.2603,15.02022,NA,73.72968,NA,NA,NA,11.64699,8.658193,9.6134699999999995,8.658193,NA,NA,0.992039,NA
Early,CBT,2010-06-07,2010,6,7,NIGHT,4,488.8457,15.02129,NA,73.71817,NA,NA,NA,12.14065,4.138822,19.92577,19.92577,NA,NA,0.9725582,NA
Early,CBT,2010-06-07,2010,6,7,NIGHT,5,480.1467,15.08883,NA,73.72255,NA,NA,NA,13.87585,4.812687,7.5197380000000003,7.519738,NA,NA,0.9783051,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,1,390.7755,20.18579,NA,72.86674,NA,NA,NA,14.34832,-6.818762,-9.0954479999999993,-9.095448,-10.6189536,-9.1175198,0.9685598,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,2,395.6244,21.1499,NA,72.88353,NA,NA,NA,16.2499,-6.616884,-8.10318,-8.10318,NA,NA,0.9852997,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,3,391.6515,21.87712,NA,72.89519,NA,NA,NA,15.22885,-7.11611,-9.0327500000000001,-9.03275,NA,NA,0.9863925,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,4,396.1504,22.65479,NA,72.90074,NA,NA,NA,17.43968,-9.377773,-11.20532,-11.20532,NA,NA,0.9915298,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,5,392.5756,23.34535,NA,72.9,NA,NA,NA,17.73768,-15.65807,NA,-15.65807,NA,NA,0.9990415,no fit
Early,ROAD,2010-06-15,2010,6,15,DAY,6,392.7323,24.52704,NA,72.88633,NA,NA,NA,16.81827,-5.905844,-6.9534900000000004,-6.95349,NA,NA,0.9831625,NA
Early,ROAD,2010-06-15,2010,6,15,DAY,7,393.8663,23.9799,NA,72.8836,NA,NA,NA,16.6068,-6.75842,-7.3719530000000004,-7.371953,NA,NA,0.9936755,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,1,433.0203,13.62612,NA,72.78612,NA,NA,NA,12.26466,5.392476,7.8512779999999998,5.392476,7.4830674,4.642303,0.9907314,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,2,451.9443,13.4035,NA,72.81136,NA,NA,NA,12.10971,4.645524,7.4194180000000003,7.419418,NA,NA,0.9853053,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,3,438.1972,13.13083,NA,72.82667,NA,NA,NA,12.23031,5.044446,8.4129900000000006,5.044446,NA,NA,0.9688345,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,4,453.8172,13.21549,NA,72.8556,NA,NA,NA,11.92363,5.46106,14.00958,14.00958,NA,NA,0.9684598,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,5,450.069,12.93032,NA,72.8643,NA,NA,NA,11.95226,2.668009,5.549417,5.549417,NA,NA,0.9819053,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,6,444.5489,13.11489,NA,72.85415,NA,NA,NA,12.09862,5.9239560000000004,15.15535,15.15535,NA,NA,0.9637098,NA
Early,ROAD,2010-06-15,2010,6,15,NIGHT,7,459.2209,12.98109,NA,72.85185,NA,NA,NA,12.00011,5.946072,9.4732520000000005,9.473252,NA,NA,0.9872504,NA
Early,PFEILER,2010-06-21,2010,6,21,DAY,1,383.8092,20.89785,NA,69.93935,NA,NA,NA,12.56376,-10.54522,NA,-10.54522,-12.0313414,-10.0701842,0.9965715,no fit
Early,PFEILER,2010-06-21,2010,6,21,DAY,2,390.0563,22.45787,NA,69.91755,NA,NA,NA,11.56691,-9.974727,NA,-9.974727,NA,NA,0.995806,no fit
Early,PFEILER,2010-06-21,2010,6,21,DAY,3,390.2127,24.46828,NA,69.86473,NA,NA,NA,15.74806,-13.01306,-15.23809,-13.01306,NA,NA,0.9794371,NA
Early,PFEILER,2010-06-21,2010,6,21,DAY,4,393.4615,25.10839,NA,69.83796,NA,NA,NA,16.1429,-11.47622,-13.298550000000001,-13.29855,NA,NA,0.9856562,NA
Early,PFEILER,2010-06-21,2010,6,21,DAY,5,397.2067,25.96086,NA,69.80978,NA,NA,NA,11.36602,-5.341694,-13.325150000000001,-13.32515,NA,NA,0.9164921,NA
Early,PFEILER,2010-06-21,2010,6,21,DAY,6,381.5144,24.83624,NA,69.8929,NA,NA,NA,19.10323,-16.93522,NA,-16.93522,NA,NA,0.9991507,no fit
Early,PFEILER,2010-06-21,2010,6,21,DAY,7,379.5362,26.00706,NA,69.8913,NA,NA,NA,19.74259,-15.65623,NA,NA,NA,NA,0.9919828,no fit
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,1,429.5623,12.49452,NA,69.98387,NA,NA,NA,8.480215,4.44481,7.5272569999999996,7.527257,7.024225,7.26834875,0.980503,NA
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,2,408.7244,12.5122,NA,69.95484,NA,NA,NA,7.91011,6.305192,NA,6.305192,NA,NA,0.9906682,no fit
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,3,411.433,12.65097,NA,69.92054,NA,NA,NA,9.338387,6.990643,8.6129049999999996,8.612905,NA,NA,0.9975488,NA
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,4,423.0102,12.36468,NA,69.9017,NA,NA,NA,10.14404,6.844297,7.1017590000000004,6.844297,NA,NA,0.9925551,NA
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,5,390.3488,12.07065,NA,69.87344,NA,NA,NA,11.6,4.725092,5.831474,5.831474,NA,NA,0.9851471,NA
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,6,431.8117,12.72108,NA,69.92097,NA,NA,NA,10.43495,5.070404,4.9722559999999998,5.070404,NA,NA,0.9973393,NA
Early,PFEILER,2010-06-21,2010,6,21,NIGHT,7,373.2029,12.72935,NA,69.92892,NA,NA,NA,9.604516,5.860448,5.4175940000000002,5.860448,NA,NA,0.9944593,NA
Early,PBM,2010-06-28,2010,6,28,DAY,1,405.6035,20.03258,NA,68.48753,NA,NA,NA,22.31194,-19.11746,NA,-19.11746,-16.7828854,-16.4001096,0.9787368,no fit
Early,PBM,2010-06-28,2010,6,28,DAY,2,386.7562,21.65151,NA,68.47957,NA,NA,NA,20.81333,-23.18581,NA,-23.18581,NA,NA,0.9866638,no fit
Early,PBM,2010-06-28,2010,6,28,DAY,3,391.4128,23.17255,NA,68.46319,NA,NA,NA,21.05277,-25.47979,NA,-25.47979,NA,NA,0.9977247,no fit
Early,PBM,2010-06-28,2010,6,28,DAY,4,385.7667,25.41333,NA,68.44613,NA,NA,NA,18.05527,-6.704523,-8.6184019999999997,-8.618402,NA,NA,0.9897611,NA
Early,PBM,2010-06-28,2010,6,28,DAY,5,397.7354,25.99204,NA,68.40677,NA,NA,NA,15.00011,-7.512965,NA,-7.512965,NA,NA,0.97207,no fit
Early,PBM,2010-06-28,2010,6,28,DAY,6,389.9561,24.29656,NA,68.46215,NA,NA,NA,22.0286,-21.43812,NA,-21.43812,NA,NA,0.998592,no fit
Early,PBM,2010-06-28,2010,6,28,DAY,7,386.5018,24.89849,NA,68.45753,NA,NA,NA,21.43183,-20.97129,NA,-20.97129,NA,NA,0.9991484,no fit
Early,PBM,2010-06-27,2010,6,27,NIGHT,1,408.291,14.51108,NA,68.27978,NA,NA,NA,12.3414,5.839356,6.653861,6.653861,6.4582358,5.5254978,0.9974087,NA
Early,PBM,2010-06-27,2010,6,27,NIGHT,2,446.4545,14.29559,NA,68.28366,NA,NA,NA,12.07688,5.680627,6.9473520000000004,6.947352,NA,NA,0.9865592,NA
Early,PBM,2010-06-27,2010,6,27,NIGHT,3,423.3795,14.02419,NA,68.28946,NA,NA,NA,12.28022,7.126533,13.227119999999999,7.126533,NA,NA,0.4924941,NA
