site,taxon_std,taxon,year,cover_date,abundance,percent_cover,notes
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,1533,7.337278107,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,258,33.84615385,NA
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,118,0.118343195,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,85,1.656804734,NA
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,73,4.142011834,NA
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,37,13.84615385,NA
CBT,Taraxacum officinale,Taraxacum officinale,2016,2016-06-21T00:00:00Z,32,2.24852071,NA
CBT,Juncus sp.,Juncus sp.,2016,NA,29,NA,NA
CBT,Agrostis gigantea,Agrostis gigantea,2016,NA,27,NA,NA
CBT,Thlaspi arvense,Thlaspi arvense,2016,2016-06-21T00:00:00Z,22,0.118343195,NA
CBT,Valeriana capitata,Valeriana capitata,2016,2016-06-21T00:00:00Z,22,2.130177515,NA
CBT,Thalictrum fendleri,Thalictrum fendleri,2016,2016-06-21T00:00:00Z,21,0.828402367,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,20,1.893491124,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,NA,17,NA,NA
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,NA,13,NA,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,13,11.00591716,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,11,0.828402367,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,7,0.118343195,NA
CBT,Tragopogon dubius,Tragopogon dubius,2016,2016-06-21T00:00:00Z,7,0.236686391,NA
CBT,Potentilla gracilis,Potentilla gracilis,2016,NA,1,NA,NA
CBT,Trifolium sp.,Trifolium sp.,2016,NA,1,NA,NA
Cinnamon,Senecio crassulus,Senecio crassulus,2016,2016-07-18T00:00:00Z,334,8.875739645,NA
Cinnamon,Arnica mollis,Arnica mollis,2016,2016-07-18T00:00:00Z,216,4.615384615,NA
Cinnamon,Sibbaldia procumbens,Sibbaldia procumbens,2016,2016-07-18T00:00:00Z,114,4.142011834,NA
Cinnamon,Viola sp.,Viola sp.,2016,2016-07-18T00:00:00Z,109,0.828402367,NA
Cinnamon,Poa glauca,Poa glauca,2016,2016-07-18T00:00:00Z,59,3.786982249,NA
Cinnamon,Draba spectabilis,Draba spectabilis,2016,NA,52,NA,NA
Cinnamon,Juncus drummondii,Juncus drummondii,2016,2016-07-18T00:00:00Z,52,10.29585799,NA
Cinnamon,Carex ebenea,Carex ebenea,2016,2016-07-18T00:00:00Z,47,3.313609467,NA
Cinnamon,Deschampsia cespitosa,Deschampsia cespitosa,2016,2016-07-18T00:00:00Z,32,6.863905325,NA
Cinnamon,Castilleja septentrionalis,Castilleja sulphurea,2016,2016-07-18T00:00:00Z,26,0.473372781,NA
Cinnamon,Agoseris glauca,Agoseris glauca,2016,2016-07-18T00:00:00Z,22,0.710059172,NA
Cinnamon,Poa cusickii,Poa cusickii,2016,2016-07-18T00:00:00Z,20,1.775147929,NA
Cinnamon,Erigeron glacialis,Erigeron glacialis,2016,2016-07-18T00:00:00Z,16,0.473372781,NA
Cinnamon,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,2016,2016-07-18T00:00:00Z,15,1.301775148,NA
Cinnamon,Antennaria media,Antennaria media,2016,2016-07-18T00:00:00Z,9,0.710059172,NA
Cinnamon,Erythronium grandiflorum,Erythronium gradiflorum,2016,NA,7,NA,NA
Cinnamon,Forb 3 (small purp opp),Forb 3 (small purp opp),2016,NA,7,NA,NA
Cinnamon,Pseudocymopterus montanus,Pseudocymopterus montanus,2016,2016-07-18T00:00:00Z,7,0.118343195,NA
Cinnamon,Androsace septentrionalis,Androsace septentrionalis,2016,NA,6,NA,NA
Cinnamon,Draba poluniniana,Thlaspi montanum,2016,NA,6,NA,NA
Cinnamon,Koeleria spicata,Trisetum spicatum,2016,2016-07-18T00:00:00Z,6,0.236686391,NA
Cinnamon,Hieracium triste,Hieracium triste,2016,NA,3,NA,NA
Cinnamon,Potentilla gracilis,Potentilla gracilis,2016,2016-07-18T00:00:00Z,3,0.236686391,NA
Cinnamon,Lewisia pygmaea,Lewisia pygmaea,2016,NA,1,NA,NA
Cinnamon,Lupinus argenteus,Lupinus argenteus,2016,NA,1,NA,NA
Cinnamon,Phleum alpinum,Phleum alpinum,2016,NA,1,NA,NA
PBM,Hymenoxys hoopesii,Hymenoxys hoopesii,2016,2016-07-28T00:00:00Z,52,5.798816568,NA
PBM,Veratrum californicum,Veratrum californicum,2016,2016-07-28T00:00:00Z,51,25.68047337,NA
PBM,Androsace septentrionalis,Androsace septentrionalis,2016,NA,43,NA,NA
PBM,Bromus carinatus,Ceratochloa carinata,2016,2016-07-28T00:00:00Z,25,0.946745562,NA
PBM,Potentilla gracilis,Potentilla gracilis,2016,2016-07-28T00:00:00Z,24,2.130177515,NA
PBM,Fragaria virginiana,Fragaria virginiana,2016,2016-07-28T00:00:00Z,22,4.49704142,NA
PBM,Draba poluniniana,Thlaspi montanum,2016,NA,18,NA,NA
PBM,Mertensia fusiformis,Mertensia fusiformis,2016,NA,15,NA,NA
PBM,Elymus bakeri,Elymus bakeri,2016,2016-07-28T00:00:00Z,14,1.656804734,NA
PBM,Forb 11 (Corydalis seedling?),Forb 11 (Corydalis seedling?),2016,NA,14,NA,NA
PBM,Geranium richardsonii,Geranium richardsonii,2016,2016-07-28T00:00:00Z,14,1.775147929,NA
PBM,Viola sp.,Viola sp.,2016,NA,14,NA,NA
PBM,Poa pratensis,Poa pratensis,2016,2016-07-28T00:00:00Z,13,0.710059172,NA
PBM,Chamerion angustifolium,Chamerion angustifolium,2016,2016-07-28T00:00:00Z,12,1.183431953,NA
PBM,Erythronium grandiflorum,Erythronium grandiflorum,2016,NA,9,NA,NA
PBM,Valeriana occidentalis,Valeriana occidentalis,2016,2016-07-28T00:00:00Z,9,0.591715976,NA
PBM,Eriogonum umbellatum,Eriogonum umbellatum,2016,2016-07-28T00:00:00Z,8,1.775147929,NA
PBM,Heterotheca pumila,Heterotheca pumila,2016,2016-07-28T00:00:00Z,7,10.17751479,NA
PBM,"Forb 6 (coarse, slightly serrate)","Forb 6 (coarse, slightly serrate)",2016,NA,6,NA,NA
PBM,Ranunculus inamoenus,Ranunculus inamoenus,2016,NA,6,NA,NA
PBM,Achnatherum lettermanii,Achnatherum lettermanii,2016,NA,5,NA,NA
PBM,Mertensia ciliata,Mertensia ciliata,2016,2016-07-28T00:00:00Z,4,0.710059172,NA
PBM,Osmorhiza occidentalis,Ozmorhiza occidentalis,2016,NA,4,NA,NA
PBM,Rumex sp.,Rumex sp.,2016,2016-07-28T00:00:00Z,4,0.946745562,NA
PBM,Senecio sp.,Senecio sp.,2016,NA,4,NA,This species is likely Senecio crassulus
PBM,Erigeron subtrinervis,Erigeron subtrinervis,2016,NA,3,NA,NA
PBM,"Forb 9 (large, perennial mustard)","Forb 9 (large, perennial mustard)",2016,NA,3,NA,NA
PBM,Gentiana parryi,Gentiana parryi,2016,2016-07-28T00:00:00Z,3,0.118343195,NA
PBM,Boechera stricta,Boechera stricta,2016,NA,2,NA,NA
PBM,Hydrophyllum capitatum,Hydrophyllum capitatum,2016,NA,2,NA,NA
PBM,Ligusticum porteri,Ligusticum porteri,2016,NA,2,NA,NA
PBM,Carex sp.,Carex sp.,2016,NA,1,NA,NA
PBM,Corydalis caseana,Corydalis caseana,2016,2016-07-28T00:00:00Z,1,15.85798817,NA
PBM,Forb 5 (hairy basal leaves),Forb 5 (hairy basal leaves),2016,NA,1,NA,NA
PBM,Forb 7,Forb 7,2016,NA,1,NA,NA
PBM,Frasera speciosa,Frasera speciosa,2016,NA,1,NA,NA
Pfeiler,Veratrum californicum,Veratrum californicum,2016,2016-07-14T00:00:00Z,52,27.69230769,NA
Pfeiler,Lathyrus lanszwertii,Lathyrus lanszwertii,2016,2016-07-14T00:00:00Z,49,1.656804734,NA
Pfeiler,Bromus carinatus,Ceratochloa carinata,2016,2016-07-14T00:00:00Z,38,4.615384615,NA
Pfeiler,Heliomeris multiflora,Heliomeris multiflora,2016,2016-07-14T00:00:00Z,34,3.313609467,NA
Pfeiler,Helianthella quinquenervis,Helianthella quinquenervis,2016,2016-07-14T00:00:00Z,31,7.337278107,NA
Pfeiler,Viola praemorsa,Viola praemorsa,2016,2016-07-14T00:00:00Z,31,0.828402367,NA
Pfeiler,Senecio serra,Senecio serra,2016,2016-07-14T00:00:00Z,28,0.828402367,NA
Pfeiler,Poa glauca,Poa glauca,2016,2016-07-14T00:00:00Z,22,5.325443787,NA
Pfeiler,Thalictrum fendleri,Thalictrum fendleri,2016,2016-07-14T00:00:00Z,20,12.18934911,NA
Pfeiler,Melica spectabilis,Bromelica spectabilis,2016,NA,17,NA,NA
Pfeiler,Mertensia ciliata,Mertensia ciliata,2016,2016-07-14T00:00:00Z,15,1.065088757,NA
Pfeiler,Hydrophyllum fendleri,Hydrophyllum fendleri,2016,2016-07-14T00:00:00Z,14,2.01183432,NA
Pfeiler,Vicia americana,Vicia americana,2016,2016-07-14T00:00:00Z,13,0.118343195,NA
Pfeiler,Erigeron speciosus,Erigeron speciosus,2016,2016-07-14T00:00:00Z,12,2.840236686,NA
Pfeiler,Ligusticum porteri,Ligusticum porteri,2016,2016-07-14T00:00:00Z,9,7.810650888,NA
Pfeiler,Potentilla gracilis,Potentilla gracilis,2016,2016-07-14T00:00:00Z,7,0.710059172,NA
Pfeiler,Senecio crassulus,Senecio crassulus,2016,NA,5,NA,NA
Pfeiler,Erythronium grandiflorum,Erythronium grandiflorum,2016,NA,4,NA,NA
Pfeiler,Heracleum sphondylium,Heracleum sphondylium,2016,2016-07-14T00:00:00Z,4,5.562130178,NA
Pfeiler,Delphinium barbeyi,Delphinium barbeyi,2016,2016-07-14T00:00:00Z,3,0.828402367,NA
Pfeiler,Festuca idahoensis,Festuca idahoensis,2016,2016-07-14T00:00:00Z,2,0.591715976,NA
Pfeiler,Osmorhiza occidentalis,Ozmorhiza occidentalis,2016,2016-07-14T00:00:00Z,2,0.355029586,NA
Pfeiler,Castilleja septentrionalis,Castilleja sulphurea,2016,NA,1,NA,NA
Pfeiler,Forb 3 - Unknown (tall aster multi flora),Forb 3 - Unknown (tall aster multi flora),2016,2016-07-14T00:00:00Z,1,0.946745562,NA
Pfeiler,Gentiana parryi,Gentiana parryi,2016,2016-07-14T00:00:00Z,1,0.828402367,NA
Pfeiler,Ribes montigenum,Ribes montigenum,2016,2016-07-14T00:00:00Z,1,1.183431953,NA
Road,Collomia linearis,Collomia linearis,2016,2016-07-03T00:00:00Z,342,0.355029586,NA
Road,Poa pratensis,Poa pratensis,2016,2016-07-03T00:00:00Z,281,0.828402367,NA
Road,Carex siccata,Carex siccata,2016,NA,90,NA,NA
Road,Cirsium sp.,Cirsium sp.,2016,2016-07-03T00:00:00Z,82,5.798816568,NA
Road,Achillea millefolium,Achillea millefolium,2016,2016-07-03T00:00:00Z,80,0.355029586,NA
Road,Taraxacum officinale,Taraxacum officinale,2016,2016-07-03T00:00:00Z,80,3.786982249,NA
Road,Trifolium longipes,Trifolium longipes,2016,NA,80,NA,NA
Road,Phleum pratense,Phleum pratense,2016,2016-07-03T00:00:00Z,78,4.142011834,NA
Road,Bromus carinatus,Ceratochloa carinata,2016,2016-07-03T00:00:00Z,68,2.721893491,NA
Road,Rumex acetosella,Acetosella vulgaris,2016,NA,40,NA,NA
Road,Viola sp.,Viola sp.,2016,2016-07-03T00:00:00Z,35,0.355029586,NA
Road,Androsace septentrionalis,Androsace septentrionalis,2016,NA,29,NA,NA
Road,Chrysothamnus parryi,Chrysothamnus parryi,2016,2016-07-03T00:00:00Z,26,6.0355029589999996,NA
Road,Ranunculus alismifolius,Ranunculus alismifolius,2016,NA,23,NA,NA
Road,AF01 - Unknown,AF01 - Unknown,2016,NA,22,NA,NA
Road,Epilobium ciliatum,Epilobium ciliatum,2016,2016-07-03T00:00:00Z,22,0.118343195,NA
Road,Potentilla gracilis,Potentilla gracilis,2016,2016-07-03T00:00:00Z,20,2.840236686,NA
Road,Vicia americana,Vicia americana,2016,2016-07-03T00:00:00Z,16,0.355029586,NA
Road,Carex egglestonii,Carex egglestonii,2016,NA,15,NA,NA
Road,Deschampsia cespitosa,Deschampsia cespitosa,2016,2016-07-03T00:00:00Z,15,0.946745562,NA
Road,Erigeron speciosus,Erigeron speciosus,2016,2016-07-03T00:00:00Z,14,2.721893491,NA
Road,Valeriana capitata,Valeriana capitata,2016,2016-07-03T00:00:00Z,14,4.26035503,NA
Road,Erigeron coulteri,Erigeron coulteri,2016,NA,10,NA,NA
Road,Eriogonum umbellatum,Eriogonum umbellatum,2016,2016-07-03T00:00:00Z,10,1.065088757,NA
Road,Campanula rotundifolia,Campanula rotundifolia,2016,NA,9,NA,NA
Road,Veratrum californicum,Veratrum californicum,2016,2016-07-03T00:00:00Z,9,7.810650888,NA
Road,Potentilla fruticosa,Potentilla fruticosa,2016,2016-07-03T00:00:00Z,6,12.30769231,NA
Road,Tragopogon dubius,Tragopogon dubius,2016,NA,6,NA,NA
Road,Artemisia tridentata,Artemisia tridentata,2016,2016-07-03T00:00:00Z,5,6.153846154,NA
Road,Lathyrus lanszwertii,Lathyrus lanszwertii,2016,2016-07-03T00:00:00Z,4,6.50887574,NA
Road,Lupinus polyphyllus var. prunophilus,Lupinus polyphyllus var. prunophilus,2016,2016-07-03T00:00:00Z,4,0.828402367,NA
Road,AF07 - Unknown,AF07 - Unknown,2016,NA,3,NA,NA
Road,Geranium viscosissimum,Geranium viscosissimum,2016,2016-07-03T00:00:00Z,3,4.49704142,NA
Road,Juncus sp.,Juncus sp.,2016,NA,3,NA,NA
Road,Melica spectabilis,Bromelica spectabilis,2016,NA,3,NA,NA
Road,AF08 - Unknown,AF08 - Unknown,2016,NA,2,NA,NA
Road,Potentilla hippiana,Potentilla hippiana,2016,NA,2,NA,NA
Road,Valeriana edulis,Valeriana edulis,2016,2016-07-03T00:00:00Z,2,1.065088757,NA
Road,AF04 - Unknown,AF04 - Unknown,2016,NA,1,NA,NA
Road,Hymenoxys hoopesii,Hymenoxys hoopesii,2016,NA,1,NA,NA
Road,Rumex sp.,Rumex sp.,2016,NA,1,NA,NA
